day,A,E,H,I,R,S,V,R_t
55.0,0.5644067,2.1589391,10.328897,2.2541492,50.393425,10942.673,544.47064,2.7242004496838184
56.0,0.5753881,2.1663802,10.16196,2.2412665,51.517593,10916.208,569.97345,2.717611800824068
57.0,0.5819614,2.220719,10.183278,2.2438056,50.721924,10920.15,566.13165,2.7187368903670897
58.0,0.57535434,2.216912,10.781956,2.2383358,50.55267,10889.257,582.8005,2.714290522863552
59.0,0.58555466,2.2082117,10.82697,2.296202,51.116436,10865.465,604.1725,2.7087713185357636
60.0,0.58196056,2.2181106,10.451179,2.2291362,51.430626,10881.648,604.28467,2.709008109839821
61.0,0.5897878,2.214081,10.722371,2.3175015,51.946735,10879.261,601.5094,2.7094182712520567
62.0,0.5913427,2.244489,10.909364,2.3008316,51.602375,10872.655,612.5402,2.7067692951617244
63.0,0.60210675,2.2955222,10.943697,2.3563547,52.728447,10853.125,630.793,2.7019071337295344
64.0,0.5902078,2.2806761,10.889308,2.3419764,52.66876,10830.173,653.9009,2.6961930339196107
65.0,0.6189828,2.303462,11.440791,2.3476765,52.83499,10830.612,647.2815,2.6975644819306925
66.0,0.61481583,2.328274,11.236845,2.3853204,53.22001,10828.04,641.6514,2.6987848601588595
67.0,0.62160856,2.34636,11.434724,2.3929217,53.384758,10803.853,678.8109,2.6896407337922086
68.0,0.6205484,2.3422356,11.40592,2.4255981,54.01252,10794.983,665.57404,2.6924386467921253
69.0,0.62705374,2.3567698,11.451425,2.450057,53.634815,10792.636,689.687,2.6868485106617133
70.0,0.6288039,2.3765855,11.765239,2.418079,53.441776,10768.02,693.4889,2.6855330263871107
71.0,0.6277589,2.383436,11.66855,2.4536824,53.65597,10762.763,715.08453,2.6803874510357333
72.0,0.6403866,2.4062197,12.02162,2.5273497,55.14188,10751.814,728.29156,2.6766858292065705
73.0,0.6411956,2.5012248,12.102851,2.5625079,55.302746,10743.833,735.90027,2.6746987565447977
74.0,0.64656794,2.5272458,12.282136,2.5679002,54.89338,10741.665,738.2615,2.6741590499424133
75.0,0.6713681,2.490289,12.219952,2.5384767,54.895206,10728.78,747.07794,2.671915844440837
76.0,0.65664506,2.4793947,12.188476,2.5385706,55.71213,10707.152,772.1164,2.6655669962005004
77.0,0.67599833,2.521487,12.38143,2.5794067,56.6585,10688.745,789.28235,2.6609844036338925
78.0,0.6774071,2.5484188,12.594246,2.6256804,56.2831,10680.758,797.35693,2.658996106975247
79.0,0.6830067,2.5751886,12.837499,2.6342351,56.23287,10675.795,779.182,2.6630401454446684
80.0,0.679672,2.6425858,13.13177,2.684667,55.773094,10674.566,803.3655,2.6574547265841084
81.0,0.6885481,2.6040423,12.917793,2.6941483,56.764225,10659.777,806.2435,2.6563376014191946
82.0,0.69965315,2.6119618,12.946759,2.678525,56.734165,10641.853,835.3197,2.649310628175593
83.0,0.71027535,2.655734,13.449926,2.6919696,57.124557,10642.211,834.0004,2.6493997324613083
84.0,0.7090282,2.6871254,13.212083,2.750875,58.810856,10620.102,832.2977,2.6490029941990096
85.0,0.7149974,2.688366,13.753153,2.7147517,58.503872,10620.491,838.8963,2.647448563756457
