day,S,I,C,P,R,R_t
0.0,3319.942138671875,3.2072012424468994,0.0,0.0,2.5267930030822754,13.948633149624145
1.0,3314.3919503348216,8.940161228179932,0.21575079645429338,0.0,2.5056771210261752,13.923751044629457
2.0,3308.8417619977677,14.673121213912964,0.43150159290858675,0.0,2.4845612389700755,13.89886893963477
3.0,3303.291573660714,20.406081199645996,0.6472523893628801,0.0,2.4634453569139754,13.873986834640082
4.0,3297.741385323661,26.13904118537903,0.8630031858171735,0.0,2.442329474857875,13.849104729645394
5.0,3292.1911969866073,31.87200117111206,1.078753982271467,0.0,2.421213592801775,13.824222624650705
6.0,3286.6410086495534,37.60496115684509,1.2945047787257602,0.0,2.4000977107456754,13.799340519656019
7.0,3281.0908203125,43.337921142578125,1.5102555751800537,0.0,2.378981828689575,13.77445841466133
8.0,3260.7511160714284,58.24612862723214,1.3833229456629073,0.0,7.118670804159982,13.692316580094735
9.0,3240.4114118303573,73.15433611188615,1.2563903161457608,0.0,11.858359779630389,13.61017474552814
10.0,3220.071707589286,88.06254359654018,1.1294576866286141,0.0,16.598048755100795,13.528032910961544
11.0,3199.732003348214,102.9707510811942,1.0025250571114677,0.0,21.337737730571202,13.44589107639495
12.0,3179.3922991071427,117.87895856584821,0.8755924275943212,0.0,26.07742670604161,13.363749241828355
13.0,3159.0525948660716,132.78716605050224,0.7486597980771746,0.0,30.817115681512014,13.28160740726176
14.0,3138.712890625,147.69537353515625,0.6217271685600281,0.0,35.55680465698242,13.199465572695164
15.0,3122.7715890066966,156.72877720424108,3.01856301512037,0.0,37.53692136492048,13.142175489746435
16.0,3106.8302873883927,165.7621808733259,5.415398861680712,0.0,39.51703807285854,13.084885406797708
17.0,3090.888985770089,174.79558454241072,7.812234708241054,0.0,41.49715478079659,13.02759532384898
18.0,3074.947684151786,183.82898821149553,10.209070554801396,0.0,43.47727148873465,12.970305240900252
19.0,3059.0063825334823,192.86239188058036,12.60590640136174,0.0,45.45738819667271,12.913015157951524
20.0,3043.0650809151784,201.8957955496652,15.00274224792208,0.0,47.43750490461077,12.855725075002796
21.0,3027.123779296875,210.92919921875,17.399578094482422,0.0,49.41762161254883,12.798434992054068
22.0,3013.257498604911,214.31010001046317,18.771338599068777,0.0,61.53963252476284,12.728604148775881
23.0,2999.3912179129466,217.69100080217635,20.143099103655135,0.0,73.66164343697685,12.658773305497697
24.0,2985.5249372209823,221.07190159388952,21.51485960824149,0.0,85.78365434919084,12.58894246221951
25.0,2971.6586565290177,224.45280238560267,22.886620112827845,0.0,97.90566526140486,12.519111618941325
26.0,2957.7923758370534,227.83370317731584,24.258380617414204,0.0,110.02767617361886,12.449280775663139
27.0,2943.926095145089,231.214603969029,25.63014112200056,0.0,122.14968708583287,12.379449932384954
28.0,2930.059814453125,234.5955047607422,27.001901626586914,0.0,134.27169799804688,12.309619089106768
29.0,2913.8756277901784,236.30691528320312,30.315755571637833,0.0,143.95082092285156,12.246908486295943
30.0,2897.6914411272323,238.01832580566406,33.62960951668875,0.0,153.62994384765625,12.18419788348512
31.0,2881.507254464286,239.729736328125,36.943463461739675,0.0,163.30906677246094,12.121487280674296
32.0,2865.323067801339,241.44114685058594,40.2573174067906,0.0,172.98818969726562,12.058776677863474
33.0,2849.1388811383927,243.15255737304688,43.571171351841514,0.0,182.6673126220703,11.99606607505265
34.0,2832.9546944754466,244.8639678955078,46.88502529689244,0.0,192.346435546875,11.933355472241827
35.0,2816.7705078125,246.57537841796875,50.19887924194336,0.0,202.0255584716797,11.870644869431002
36.0,2803.7890625,246.43389456612724,51.47399738856724,0.0,208.55265154157365,11.834582004091622
37.0,2790.8076171875,246.29241071428572,52.74911553519113,0.0,215.07974461146765,11.798519138752242
38.0,2777.826171875,246.1509268624442,54.02423368181501,0.0,221.6068376813616,11.762456273412862
39.0,2764.8447265625,246.00944301060267,55.299351828438894,0.0,228.13393075125558,11.726393408073482
40.0,2751.86328125,245.86795915876115,56.574469975062776,0.0,234.66102382114957,11.690330542734102
41.0,2738.8818359375,245.72647530691964,57.849588121686665,0.0,241.18811689104353,11.654267677394722
42.0,2725.900390625,245.58499145507812,59.12470626831055,0.0,247.7152099609375,11.618204812055343
43.0,2716.380126953125,246.44246564592635,61.075606209891184,0.0,261.87833077566967,11.552270264249191
44.0,2706.85986328125,247.29993983677454,63.02650615147182,0.0,276.0414515904018,11.486335716443039
45.0,2697.339599609375,248.15741402762276,64.97740609305245,0.0,290.20457240513394,11.420401168636888
46.0,2687.8193359375,249.014888218471,66.9283060346331,0.0,304.36769321986606,11.354466620830735
47.0,2678.299072265625,249.8723624093192,68.87920597621373,0.0,318.5308140345982,11.288532073024584
48.0,2668.77880859375,250.7298366001674,70.83010591779436,0.0,332.6939348493304,11.222597525218431
49.0,2659.258544921875,251.58731079101562,72.781005859375,0.0,346.8570556640625,11.15666297741228
50.0,2653.618896484375,250.9150172642299,75.30525207519531,0.0,352.55184064592635,11.126733854558404
51.0,2647.979248046875,250.2427237374442,77.82949829101562,0.0,358.2466256277902,11.09680473170453
52.0,2642.339599609375,249.5704302106585,80.35374450683594,0.0,363.94141060965404,11.066875608850655
53.0,2636.699951171875,248.89813668387276,82.87799072265625,0.0,369.63619559151783,11.03694648599678
54.0,2631.060302734375,248.22584315708704,85.40223693847656,0.0,375.3309805733817,11.007017363142904
55.0,2625.420654296875,247.55354963030135,87.92648315429688,0.0,381.0257655552455,10.97708824028903
56.0,2619.781005859375,246.88125610351562,90.45072937011719,0.0,386.7205505371094,10.947159117435154
57.0,2610.3677106584823,246.4978964669364,92.56567927769252,0.0,388.5380597795759,10.926772349106464
58.0,2600.954415457589,246.11453683035714,94.68062918526786,0.0,390.3555690220424,10.906385580777773
59.0,2591.5411202566966,245.7311771937779,96.79557909284318,0.0,392.17307826450894,10.885998812449083
60.0,2582.1278250558034,245.34781755719865,98.91052900041852,0.0,393.99058750697543,10.865612044120391
61.0,2572.714529854911,244.96445792061942,101.02547890799386,0.0,395.808096749442,10.845225275791702
62.0,2563.3012346540177,244.58109828404017,103.1404288155692,0.0,397.62560599190846,10.82483850746301
63.0,2553.887939453125,244.19773864746094,105.25537872314453,0.0,399.443115234375,10.80445173913432
64.0,2537.8636648995534,243.94258771623885,106.79364231654576,0.0,415.54244559151783,10.732423945821761
65.0,2521.8393903459823,243.68743678501673,108.33190590994698,0.0,431.6417759486607,10.660396152509204
66.0,2505.815115792411,243.43228585379464,109.87016950334821,0.0,447.74110630580356,10.588368359196645
67.0,2489.790841238839,243.17713492257255,111.40843309674945,0.0,463.84043666294644,10.516340565884086
68.0,2473.7665666852677,242.92198399135046,112.94669669015067,0.0,479.9397670200893,10.444312772571527
69.0,2457.7422921316966,242.66683306012834,114.4849602835519,0.0,496.0390973772321,10.37228497925897
70.0,2441.718017578125,242.41168212890625,116.02322387695312,0.0,512.138427734375,10.30025718594641
71.0,2439.237548828125,241.2769818987165,118.62193298339844,0.0,520.5599975585938,10.26728178427853
72.0,2436.757080078125,240.14228166852678,121.22064208984375,0.0,528.9815673828125,10.234306382610653
73.0,2434.276611328125,239.00758143833704,123.81935119628906,0.0,537.4031372070312,10.201330980942773
74.0,2431.796142578125,237.87288120814733,126.41806030273438,0.0,545.82470703125,10.168355579274895
75.0,2429.315673828125,236.7381809779576,129.0167694091797,0.0,554.2462768554688,10.135380177607015
76.0,2426.835205078125,235.60348074776786,131.615478515625,0.0,562.6678466796875,10.102404775939137
77.0,2424.354736328125,234.46878051757812,134.2141876220703,0.0,571.0894165039062,10.069429374271257
78.0,2404.2509765625,234.3096967424665,136.4605255126953,0.0,574.0758143833706,10.02967392482395
79.0,2384.147216796875,234.1506129673549,138.7068634033203,0.0,577.0622122628348,9.989918475376642
80.0,2364.04345703125,233.9915291922433,140.9532012939453,0.0,580.0486101422991,9.950163025929335
81.0,2343.939697265625,233.8324454171317,143.1995391845703,0.0,583.0350080217634,9.91040757648203
82.0,2323.8359375,233.6733616420201,145.4458770751953,0.0,586.0214059012277,9.870652127034722
83.0,2303.732177734375,233.5142778669085,147.6922149658203,0.0,589.0078037806919,9.830896677587415
84.0,2283.62841796875,233.35519409179688,149.9385528564453,0.0,591.9942016601562,9.791141228140107
85.0,2279.7163434709823,232.93327985491072,151.46273367745536,0.0,611.0062779017857,9.727890925230874
86.0,2275.804268973214,232.51136561802454,152.9869144984654,0.0,630.0183541434152,9.66464062232164
87.0,2271.8921944754466,232.0894513811384,154.51109531947546,0.0,649.0304303850446,9.601390319412406
88.0,2267.9801199776784,231.66753714425224,156.03527614048548,0.0,668.0425066266741,9.538140016503172
89.0,2264.068045479911,231.24562290736608,157.55945696149553,0.0,687.0545828683036,9.474889713593939
90.0,2260.1559709821427,230.8237086704799,159.08363778250558,0.0,706.0666591099331,9.411639410684705
91.0,2256.243896484375,230.40179443359375,160.60781860351562,0.0,725.0787353515625,9.348389107775471
92.0,2244.3233468191966,229.2715584891183,162.14314923967635,0.0,728.3018711635044,9.32152276970967
93.0,2232.4027971540177,228.14132254464286,163.67847987583704,0.0,731.5250069754464,9.294656431643869
94.0,2220.482247488839,227.0110866001674,165.21381051199776,0.0,734.7481427873884,9.267790093578068
95.0,2208.561697823661,225.88085065569197,166.7491411481585,0.0,737.9712785993304,9.240923755512265
96.0,2196.6411481584823,224.7506147112165,168.2844717843192,0.0,741.1944144112723,9.214057417446464
97.0,2184.7205984933034,223.62037876674108,169.8198024204799,0.0,744.4175502232143,9.187191079380662
98.0,2172.800048828125,222.49014282226562,171.35513305664062,0.0,747.6406860351562,9.160324741314861
99.0,2161.7364676339284,222.50355529785156,172.858158656529,0.0,756.9610246930804,9.114286511951933
100.0,2150.6728864397323,222.5169677734375,174.3611842564174,0.0,766.2813633510044,9.068248282589007
101.0,2139.609305245536,222.53038024902344,175.8642098563058,0.0,775.6017020089286,9.022210053226079
102.0,2128.545724051339,222.54379272460938,177.3672354561942,0.0,784.9220406668527,8.976171823863151
103.0,2117.4821428571427,222.5572052001953,178.8702610560826,0.0,794.2423793247768,8.930133594500223
104.0,2106.4185616629466,222.57061767578125,180.373286655971,0.0,803.5627179827009,8.884095365137297
105.0,2095.35498046875,222.5840301513672,181.87631225585938,0.0,812.883056640625,8.838057135774369
106.0,2091.8740583147323,222.67174639020647,183.8083975655692,0.0,817.4665614536831,8.815195382352362
107.0,2088.393136160714,222.75946262904577,185.740482875279,0.0,822.050066266741,8.792333628930356
108.0,2084.9122140066966,222.84717886788505,187.67256818498885,0.0,826.6335710797991,8.76947187550835
109.0,2081.4312918526784,222.93489510672433,189.60465349469865,0.0,831.2170758928571,8.746610122086343
110.0,2077.950369698661,223.0226113455636,191.5367388044085,0.0,835.8005807059152,8.723748368664337
111.0,2074.4694475446427,223.1103275844029,193.4688241141183,0.0,840.3840855189732,8.70088661524233
112.0,2070.988525390625,223.1980438232422,195.40090942382812,0.0,844.9675903320312,8.678024861820324
113.0,2058.569178989955,222.24144853864397,196.4728001185826,0.0,859.8385096958706,8.61961886646377
114.0,2046.1498325892858,221.28485325404577,197.54469081333704,0.0,874.7094290597098,8.561212871107216
115.0,2033.7304861886162,220.32825796944755,198.6165815080915,0.0,889.5803484235491,8.502806875750661
116.0,2021.3111397879463,219.37166268484933,199.688472202846,0.0,904.4512677873884,8.444400880394108
117.0,2008.8917933872767,218.4150674002511,200.76036289760046,0.0,919.3221871512277,8.385994885037553
118.0,1996.472446986607,217.4584721156529,201.8322535923549,0.0,934.193106515067,8.327588889681
119.0,1984.0531005859375,216.5018768310547,202.90414428710938,0.0,949.0640258789062,8.269182894324445
120.0,1973.0700509207588,216.62474060058594,205.79461887904577,0.0,964.5547746930804,8.205850980141905
121.0,1962.0870012555804,216.7476043701172,208.68509347098214,0.0,980.0455235072544,8.142519065959366
122.0,1951.1039515904017,216.87046813964844,211.57556806291853,0.0,995.5362723214286,8.079187151776829
123.0,1940.1209019252233,216.9933319091797,214.4660426548549,0.0,1011.0270211356027,8.01585523759429
124.0,1929.1378522600446,217.11619567871094,217.3565172467913,0.0,1026.5177699497767,7.95252332341175
125.0,1918.1548025948662,217.2390594482422,220.2469918387277,0.0,1042.0085187639509,7.889191409229211
126.0,1907.1717529296875,217.36192321777344,223.13746643066406,0.0,1057.499267578125,7.825859495046672
127.0,1898.5564139229912,216.5777871268136,224.0402330671038,0.0,1056.3463309151787,7.812417895560756
128.0,1889.9410749162946,215.7936510358538,224.94299970354353,0.0,1055.193394252232,7.79897629607484
129.0,1881.3257359095983,215.00951494489397,225.84576633998327,0.0,1054.0404575892858,7.785534696588924
130.0,1872.7103969029017,214.22537885393416,226.74853297642298,0.0,1052.8875209263392,7.772093097103006
131.0,1864.0950578962054,213.44124276297433,227.65129961286272,0.0,1051.734584263393,7.75865149761709
132.0,1855.4797188895088,212.65710667201452,228.55406624930245,0.0,1050.5816476004463,7.745209898131174
133.0,1846.8643798828125,211.8729705810547,229.4568328857422,0.0,1049.4287109375,7.731768298645258
134.0,1835.6682652064733,211.35153198242188,230.79132080078125,0.0,1059.0615234375,7.686563416824795
135.0,1824.4721505301338,210.83009338378906,232.1258087158203,0.0,1068.6943359375,7.641358535004333
136.0,1813.2760358537946,210.30865478515625,233.46029663085938,0.0,1078.3271484375,7.59615365318387
137.0,1802.0799211774554,209.78721618652344,234.79478454589844,0.0,1087.9599609375,7.550948771363408
138.0,1790.8838065011162,209.26577758789062,236.1292724609375,0.0,1097.5927734375,7.505743889542945
139.0,1779.6876918247767,208.7443389892578,237.46376037597656,0.0,1107.2255859375,7.460539007722483
140.0,1768.4915771484375,208.222900390625,238.79824829101562,0.0,1116.8583984375,7.41533412590202
141.0,1758.8017578125,207.10015433175224,240.09375653948103,0.0,1132.3001360212054,7.362182093509074
142.0,1749.1119384765625,205.97740827287947,241.38926478794642,0.0,1147.7418736049108,7.309030061116128
143.0,1739.422119140625,204.8546622140067,242.68477303641183,0.0,1163.1836111886162,7.255878028723182
144.0,1729.7322998046875,203.73191615513392,243.98028128487724,0.0,1178.6253487723213,7.202725996330236
145.0,1720.04248046875,202.60917009626115,245.27578953334265,0.0,1194.0670863560267,7.14957396393729
146.0,1710.3526611328125,201.4864240373884,246.57129778180803,0.0,1209.508823939732,7.096421931544344
147.0,1700.662841796875,200.36367797851562,247.86680603027344,0.0,1224.9505615234375,7.043269899151398
148.0,1692.081298828125,200.34746878487724,248.82649666922433,0.0,1223.484095982143,7.026417934740254
149.0,1683.499755859375,200.33125959123885,249.78618730817522,0.0,1222.0176304408483,7.009565970329109
150.0,1674.918212890625,200.31505039760046,250.7458779471261,0.0,1220.5511648995537,6.992714005917964
151.0,1666.336669921875,200.29884120396204,251.70556858607702,0.0,1219.0846993582588,6.97586204150682
152.0,1657.755126953125,200.28263201032365,252.6652592250279,0.0,1217.6182338169642,6.959010077095676
153.0,1649.173583984375,200.26642281668526,253.6249498639788,0.0,1216.1517682756696,6.942158112684531
154.0,1640.592041015625,200.25021362304688,254.5846405029297,0.0,1214.685302734375,6.925306148273386
155.0,1634.6402762276787,199.63302394321985,256.31565638950894,0.0,1222.9278564453125,6.893289907231856
156.0,1628.688511439732,199.01583426339286,258.04667227608815,0.0,1231.17041015625,6.861273666190327
157.0,1622.7367466517858,198.39864458356584,259.7776881626674,0.0,1239.4129638671875,6.829257425148796
158.0,1616.7849818638392,197.78145490373885,261.50870404924666,0.0,1247.655517578125,6.797241184107266
159.0,1610.833217075893,197.16426522391183,263.2397199358259,0.0,1255.8980712890625,6.765224943065736
160.0,1604.8814522879463,196.54707554408483,264.9707358224051,0.0,1264.140625,6.733208702024206
161.0,1598.9296875,195.9298858642578,266.7017517089844,0.0,1272.3831787109375,6.701192460982676
162.0,1589.0952671595983,195.6314413888114,266.858651297433,0.0,1283.3034144810267,6.658163261015941
163.0,1579.2608468191963,195.33299691336495,267.0155508858817,0.0,1294.2236502511162,6.615134061049208
164.0,1569.4264264787946,195.03455243791853,267.17245047433033,0.0,1305.1438860212054,6.572104861082473
165.0,1559.592006138393,194.7361079624721,267.32935006277904,0.0,1316.0641217912946,6.529075661115739
166.0,1549.7575857979912,194.43766348702567,267.4862496512277,0.0,1326.9843575613838,6.486046461149004
167.0,1539.9231654575892,194.13921901157923,267.64314923967635,0.0,1337.9045933314733,6.443017261182271
168.0,1530.0887451171875,193.8407745361328,267.800048828125,0.0,1348.8248291015625,6.399988061215536
169.0,1528.112758091518,193.45440891810827,269.86922345842635,0.0,1353.5553327287946,6.383376217416193
170.0,1526.1367710658483,193.0680433000837,271.9383980887277,0.0,1358.2858363560267,6.366764373616848
171.0,1524.1607840401787,192.68167768205916,274.00757271902904,0.0,1363.0163399832588,6.350152529817505
172.0,1522.1847970145088,192.2953120640346,276.07674734933033,0.0,1367.7468436104912,6.333540686018161
173.0,1520.2088099888392,191.90894644601005,278.1459219796317,0.0,1372.4773472377233,6.316928842218817
174.0,1518.2328229631696,191.52258082798548,280.215096609933,0.0,1377.2078508649554,6.300316998419473
175.0,1516.2568359375,191.13621520996094,282.2842712402344,0.0,1381.9383544921875,6.2837051546201295
176.0,1498.5410330636162,189.90047345842635,282.8319745744978,0.0,1392.4376569475446,6.224039503431533
177.0,1480.825230189732,188.66473170689173,283.37967790876115,0.0,1402.9369594029017,6.164373852242937
178.0,1463.1094273158483,187.42898995535714,283.92738124302457,0.0,1413.4362618582588,6.104708201054341
179.0,1445.3936244419642,186.19324820382255,284.47508457728793,0.0,1423.9355643136162,6.045042549865744
180.0,1427.6778215680804,184.95750645228796,285.02278791155135,0.0,1434.4348667689733,5.985376898677147
181.0,1409.9620186941966,183.72176470075334,285.5704912458147,0.0,1444.9341692243304,5.925711247488551
182.0,1392.2462158203125,182.48602294921875,286.1181945800781,0.0,1455.4334716796875,5.866045596299955
183.0,1388.0281284877233,181.91878400530135,287.09114728655135,0.0,1455.6512451171875,5.85454432509328
184.0,1383.8100411551338,181.35154506138392,288.06409999302457,0.0,1455.8690185546875,5.843043053886605
185.0,1379.5919538225446,180.7843061174665,289.0370526994978,0.0,1456.0867919921875,5.83154178267993
186.0,1375.3738664899554,180.2170671735491,290.01000540597096,0.0,1456.3045654296875,5.820040511473256
187.0,1371.1557791573662,179.6498282296317,290.9829581124442,0.0,1456.5223388671875,5.808539240266581
188.0,1366.9376918247767,179.08258928571428,291.9559108189174,0.0,1456.7401123046875,5.7970379690599065
189.0,1362.7196044921875,178.51535034179688,292.9288635253906,0.0,1456.9578857421875,5.785536697853232
190.0,1353.1023995535713,177.78121076311385,293.52247837611606,0.0,1474.461181640625,5.731972403786762
191.0,1343.4851946149554,177.0470711844308,294.11609322684154,0.0,1491.9644775390625,5.678408109720292
192.0,1333.8679896763392,176.31293160574776,294.709708077567,0.0,1509.4677734375,5.624843815653822
193.0,1324.2507847377233,175.57879202706474,295.3033229282924,0.0,1526.9710693359375,5.571279521587352
194.0,1314.633579799107,174.8446524483817,295.89693777901783,0.0,1544.474365234375,5.517715227520882
195.0,1305.0163748604912,174.11051286969865,296.4905526297433,0.0,1561.9776611328125,5.464150933454412
196.0,1295.399169921875,173.37637329101562,297.08416748046875,0.0,1579.48095703125,5.410586639387942
197.0,1295.9951346261162,173.40447998046875,298.3780779157366,0.0,1582.8670479910713,5.404564147011866
198.0,1296.591099330357,173.43258666992188,299.6719883510045,0.0,1586.253138950893,5.398541654635792
199.0,1297.1870640345983,173.460693359375,300.9658987862723,0.0,1589.6392299107142,5.392519162259716
200.0,1297.7830287388392,173.48880004882812,302.2598092215402,0.0,1593.0253208705358,5.386496669883641
201.0,1298.3789934430804,173.51690673828125,303.553719656808,0.0,1596.411411830357,5.3804741775075655
202.0,1298.9749581473213,173.54501342773438,304.8476300920759,0.0,1599.7975027901787,5.374451685131491
203.0,1299.5709228515625,173.5731201171875,306.14154052734375,0.0,1603.18359375,5.368429192755415
204.0,1281.0035051618304,172.67987714494978,307.4346400669643,0.0,1611.7794189453125,5.305677181944636
205.0,1262.4360874720983,171.78663417271204,308.7277396065848,0.0,1620.375244140625,5.242925171133857
206.0,1243.8686697823662,170.89339120047433,310.02083914620533,0.0,1628.9710693359375,5.180173160323077
207.0,1225.3012520926338,170.0001482282366,311.3139386858259,0.0,1637.56689453125,5.117421149512298
208.0,1206.7338344029017,169.1069052559989,312.60703822544644,0.0,1646.1627197265625,5.054669138701518
209.0,1188.1664167131696,168.21366228376115,313.900137765067,0.0,1654.758544921875,4.99191712789074
210.0,1169.5989990234375,167.32041931152344,315.1932373046875,0.0,1663.3543701171875,4.92916511707996
211.0,1162.6646554129463,166.5061798095703,315.2940891810826,0.0,1669.5873325892858,4.901963086615147
212.0,1155.7303118024554,165.6919403076172,315.3949410574777,0.0,1675.8202950613838,4.8747610561503345
213.0,1148.7959681919642,164.87770080566406,315.4957929338728,0.0,1682.053257533482,4.847559025685522
214.0,1141.8616245814733,164.06346130371094,315.59664481026783,0.0,1688.2862200055804,4.820356995220709
215.0,1134.927280970982,163.2492218017578,315.69749668666293,0.0,1694.5191824776787,4.793154964755896
216.0,1127.9929373604912,162.4349822998047,315.798348563058,0.0,1700.7521449497767,4.765952934291083
217.0,1121.05859375,161.62074279785156,315.8992004394531,0.0,1706.985107421875,4.73875090382627
218.0,1120.0546177455358,161.51828002929688,317.10010201590404,0.0,1710.6949811662946,4.72913079070744
219.0,1119.0506417410713,161.4158172607422,318.3010035923549,0.0,1714.4048549107142,4.719510677588609
220.0,1118.046665736607,161.3133544921875,319.5019051688058,0.0,1718.1147286551338,4.709890564469778
221.0,1117.042689732143,161.2108917236328,320.7028067452567,0.0,1721.8246023995537,4.700270451350948
222.0,1116.0387137276787,161.10842895507812,321.9037083217076,0.0,1725.5344761439733,4.690650338232118
223.0,1115.0347377232142,161.00596618652344,323.10460989815846,0.0,1729.244349888393,4.681030225113287
224.0,1114.03076171875,160.90350341796875,324.3055114746094,0.0,1732.9542236328125,4.671410111994456
225.0,1107.363560267857,159.8047834123884,323.74053955078125,0.0,1741.4964076450892,4.643169192067179
226.0,1100.6963588169642,158.70606340680803,323.1755676269531,0.0,1750.0385916573662,4.614928272139903
227.0,1094.0291573660713,157.60734340122767,322.610595703125,0.0,1758.580775669643,4.586687352212627
228.0,1087.3619559151787,156.50862339564733,322.0456237792969,0.0,1767.1229596819196,4.558446432285351
229.0,1080.6947544642858,155.40990339006697,321.48065185546875,0.0,1775.6651436941963,4.530205512358074
230.0,1074.027553013393,154.3111833844866,320.9156799316406,0.0,1784.2073277064733,4.501964592430798
231.0,1067.3603515625,153.21246337890625,320.3507080078125,0.0,1792.74951171875,4.473723672503521
232.0,1060.0022583007812,151.93165370396204,322.3145010811942,0.0,1799.3729771205358,4.442949001400558
233.0,1052.6441650390625,150.65084402901786,324.2782941545759,0.0,1805.9964425223213,4.412174330297596
234.0,1045.2860717773438,149.37003435407365,326.2420872279576,0.0,1812.619907924107,4.381399659194633
235.0,1037.927978515625,148.08922467912947,328.2058803013393,0.0,1819.243373325893,4.35062498809167
236.0,1030.5698852539062,146.80841500418526,330.16967337472096,0.0,1825.8668387276787,4.319850316988707
237.0,1023.2117919921875,145.52760532924108,332.1334664481027,0.0,1832.4903041294642,4.289075645885744
238.0,1015.8536987304688,144.24679565429688,334.0972595214844,0.0,1839.11376953125,4.258300974782782
239.0,1013.1265956333706,144.42254420689173,333.629403250558,0.0,1841.1564418247767,4.2480959808446865
240.0,1010.3994925362723,144.5982927594866,333.1615469796317,0.0,1843.1991141183037,4.237890986906591
241.0,1007.6723894391741,144.77404131208147,332.69369070870533,0.0,1845.2417864118304,4.227685992968496
242.0,1004.9452863420759,144.94978986467635,332.22583443777904,0.0,1847.284458705357,4.2174809990304
243.0,1002.2181832449777,145.1255384172712,331.7579781668527,0.0,1849.3271309988838,4.207276005092305
244.0,999.4910801478794,145.30128696986608,331.29012189592635,0.0,1851.3698032924108,4.197071011154209
245.0,996.7639770507812,145.47703552246094,330.822265625,0.0,1853.4124755859375,4.186866017216114
246.0,984.8373936244419,144.459224155971,332.2066432407924,0.0,1859.752650669643,4.142855420859768
247.0,972.9108101981027,143.44141278948103,333.5910208565848,0.0,1866.0928257533483,4.098844824503423
248.0,960.9842267717634,142.42360142299108,334.9753984723772,0.0,1872.4330008370537,4.054834228147076
249.0,949.0576433454241,141.4057900565011,336.35977608816967,0.0,1878.7731759207588,4.01082363179073
250.0,937.1310599190848,140.38797869001115,337.74415370396207,0.0,1885.1133510044642,3.9668130354343845
251.0,925.2044764927455,139.3701673235212,339.1285313197545,0.0,1891.4535260881696,3.9228024390780387
252.0,913.2778930664062,138.35235595703125,340.5129089355469,0.0,1897.793701171875,3.8787918427216925
253.0,908.9065028599331,138.1664079938616,340.3296857561384,0.0,1904.4790910993304,3.8580190976741497
254.0,904.5351126534598,137.98046003069197,340.1464625767299,0.0,1911.1644810267858,3.837246352626607
255.0,900.1637224469866,137.79451206752233,339.96323939732144,0.0,1917.8498709542412,3.816473607579064
256.0,895.7923322405134,137.60856410435267,339.78001621791293,0.0,1924.5352608816963,3.7957008625315214
257.0,891.4209420340402,137.42261614118303,339.5967930385045,0.0,1931.2206508091517,3.7749281174839786
258.0,887.0495518275669,137.2366681780134,339.41356985909596,0.0,1937.906040736607,3.754155372436436
259.0,882.6781616210938,137.05072021484375,339.2303466796875,0.0,1944.5914306640625,3.733382627388893
260.0,880.1665649414062,136.57889229910714,340.32234845842635,0.0,1957.9290597098213,3.7103819147913373
261.0,877.6549682617188,136.10706438337053,341.4143502371652,0.0,1971.2666887555804,3.6873812021937815
262.0,875.1433715820312,135.63523646763392,342.50635201590404,0.0,1984.6043178013392,3.6643804895962258
263.0,872.6317749023438,135.16340855189733,343.59835379464283,0.0,1997.9419468470983,3.6413797769986695
264.0,870.1201782226562,134.69158063616072,344.6903555733817,0.0,2011.279575892857,3.618379064401114
265.0,867.6085815429688,134.2197527204241,345.7823573521205,0.0,2024.6172049386162,3.595378351803558
266.0,865.0969848632812,133.7479248046875,346.8743591308594,0.0,2037.954833984375,3.5723776392060023
267.0,852.9531947544643,132.8712921142578,347.5548749651228,0.0,2033.036830357143,3.5392687197835593
268.0,840.8094046456473,131.99465942382812,348.23539079938615,0.0,2028.1188267299108,3.5061598003611163
269.0,828.6656145368304,131.11802673339844,348.91590663364957,0.0,2023.2008231026787,3.4730508809386733
270.0,816.5218244280134,130.24139404296875,349.59642246791293,0.0,2018.2828194754463,3.4399419615162308
