week,S,I,C,P,R,R_t
74.0,300.5774,15.473459,287.5788,0.0,2777.4575,1.2421700012900647
75.0,232.94656,11.171063,283.31104,0.0,2758.2551,0.9906303622879463
76.0,249.57153,10.839457,282.30945,0.0,2800.6604,1.0430143638814466
77.0,220.30647,17.7437,279.33237,0.0,2793.6716,0.9296983550962474
78.0,228.38892,11.280351,280.83966,0.0,2753.7979,0.9746232051356771
79.0,184.0957,8.393021,278.6651,0.0,2809.063,0.7841916131171598
80.0,294.7215,9.129724,271.86124,0.0,2814.3127,1.2147585893841044
81.0,245.08417,12.781656,271.68896,0.0,2824.5945,1.0209723054604878
82.0,234.15514,7.347106,261.1752,0.0,2834.6033,0.9803745776146419
83.0,240.46407,11.335555,259.8677,0.0,2820.9443,1.0081997073996805
84.0,206.22339,4.7927732,248.24672,0.0,2849.546,0.8708579902032063
85.0,246.65297,7.297801,248.53284,0.0,2867.651,1.0226339525677997
86.0,240.71043,7.830968,246.6825,0.0,2904.0237,0.9894485363131956
87.0,194.59215,3.343483,242.29828,0.0,2862.6062,0.8232255726994606
88.0,187.37129,5.5360203,237.51825,0.0,2849.9346,0.7981097531304647
89.0,250.67242,6.2490478,235.0868,0.0,2866.0596,1.043033328469799
90.0,181.15697,4.41499,226.94876,0.0,2911.7983,0.7614360479957881
91.0,212.07307,4.627885,224.78477,0.0,2877.2954,0.8928695447336837
92.0,210.35147,3.1742465,231.64056,0.0,2869.6433,0.8866823381570168
93.0,224.60002,3.0435162,234.95627,0.0,2910.6174,0.9303504535736145
94.0,200.02835,1.4943898,219.3373,0.0,2822.2473,0.8618095874253825
95.0,238.87192,3.196988,217.95241,0.0,2894.546,0.9949693208185537
96.0,225.7723,2.362167,209.00613,0.0,2856.899,0.9576855400968873
97.0,167.00592,1.1923704,207.0886,0.0,2894.9124,0.7135735535446177
98.0,225.29074,2.6594381,201.2963,0.0,2866.535,0.9551378117896631
99.0,194.44629,0.0,200.64203,0.0,2915.2803,0.8207377282855858
100.0,212.3762,4.2695913,192.70605,0.0,2876.8901,0.9029992883247876
101.0,216.91199,0.0,200.70229,0.0,2891.7295,0.9158466515455641
102.0,221.35356,0.0,189.35179,0.0,2896.6777,0.9351539314436714
103.0,204.04756,0.0,192.60544,0.0,2903.901,0.8638248116265048
104.0,194.2974,2.1682863,184.42221,0.0,2912.988,0.8242156002071477
105.0,233.15137,0.41325212,184.95276,0.0,2921.8274,0.9752765084321242
106.0,221.06645,6.025087,188.64299,0.0,2906.3643,0.9298039567145294
107.0,184.4588,2.3582237,181.72578,0.0,2931.482,0.7810220178368467
108.0,245.22818,2.3489792,177.32903,0.0,2922.8274,1.0235300036698685
109.0,246.08116,1.1209763,177.46448,0.0,2940.2163,1.0218555338718773
110.0,188.96442,0.0,168.77812,0.0,2971.96,0.7929680515705239
111.0,241.2487,3.067677,170.41844,0.0,2906.893,1.0148342137200372
112.0,213.75749,1.2464914,168.18927,0.0,2956.0256,0.8944530483680043
113.0,160.81157,0.8584543,165.90338,0.0,2927.8667,0.6902218000167919
114.0,240.02933,0.0,151.09003,0.0,2960.1787,1.0007655426882465
115.0,194.74811,3.5622113,158.90244,0.0,2937.3367,0.8259586603309511
116.0,115.20995,0.0,153.93008,0.0,2982.0044,0.4951477712761345
117.0,215.86603,0.0,157.26085,0.0,2948.7407,0.9079941967889211
118.0,260.95804,0.0,144.53009,0.0,2982.81,1.076143401281282
119.0,203.79549,1.2865782,149.57697,0.0,2938.1257,0.8647932861923879
120.0,210.2147,2.4684901,145.48111,0.0,3016.6597,0.8703482519603309
121.0,187.52751,2.9398527,141.20842,0.0,2992.8262,0.7881692541496651
122.0,243.01517,0.0,137.81815,0.0,3024.1511,0.9972391967674236
123.0,173.64992,0.0,141.46288,0.0,3024.7559,0.7264843873074309
124.0,242.90482,0.0,127.19195,0.0,2952.6594,1.0214538294635318
125.0,299.10703,0.0,137.03139,0.0,2993.5054,1.218593030775977
126.0,194.38664,0.68973774,130.17902,0.0,2944.1301,0.8307710890945786
127.0,216.54868,0.0,121.610275,0.0,2919.6218,0.9287840889810206
128.0,255.64864,1.7180126,124.31658,0.0,3013.1482,1.0522195281732805
129.0,215.87135,0.0,127.14404,0.0,2970.9487,0.9101821253370048
130.0,205.94165,0.0,113.70547,0.0,3017.615,0.8622534938927086
131.0,216.4217,2.0160327,113.400795,0.0,3046.8545,0.8950208949538906
132.0,216.8713,0.0,123.96846,0.0,3017.3113,0.9023664970889915
133.0,215.28555,1.5546354,119.51896,0.0,2993.1843,0.9034649078971897
134.0,239.49057,0.08876858,114.63493,0.0,2991.0706,1.0003141408364817
135.0,224.14967,0.7565513,112.73519,0.0,3013.318,0.9346521706679264
136.0,250.78842,6.164811,117.26621,0.0,2985.7427,1.042927675589402
137.0,193.37257,0.991993,112.064186,0.0,3046.6501,0.8058091538529073
138.0,202.85582,0.0,108.166794,0.0,2981.0183,0.8610003691661339
139.0,276.3336,1.3401651,113.59215,0.0,2995.009,1.1402302304274619
140.0,242.23479,5.646036,106.894646,0.0,2998.5276,1.0093569977553492
141.0,193.38731,0.0,104.494225,0.0,2999.8042,0.8194072581765307
142.0,168.38463,2.3579354,91.304344,0.0,3039.7817,0.7125724099022648
143.0,228.32454,1.9662201,99.16334,0.0,2982.3628,0.9633128743843818
144.0,179.591,0.0,98.92271,0.0,2991.9548,0.7672832049115738
145.0,226.83005,6.613219,87.802475,0.0,3054.8381,0.9387899842480887
146.0,194.90344,0.0,88.195114,0.0,2996.6936,0.8303367841209035
147.0,214.16843,0.0,98.96408,0.0,3041.0442,0.8921761308632926
148.0,205.18248,1.3540307,89.11398,0.0,3047.8386,0.8574749705491996
149.0,210.39958,0.9251283,89.24662,0.0,3079.593,0.8697374027337669
150.0,223.12349,0.0,81.66266,0.0,3053.8901,0.9282356345632463
151.0,252.25761,0.0,95.883575,0.0,3088.7246,1.0255640787294196
152.0,205.21085,4.4237447,80.54545,0.0,3051.4575,0.8580686963582782
153.0,199.88092,4.5698647,81.16411,0.0,3032.0325,0.8418257568168971
154.0,257.5053,4.5159106,87.48811,0.0,3065.2876,1.0536646211545229
155.0,218.0517,3.3092592,76.838905,0.0,3091.786,0.8987578347663676
156.0,214.00815,0.0,84.92205,0.0,2981.453,0.9115633114421449
157.0,195.93199,0.0,85.75232,0.0,2986.6414,0.8376471584952253
158.0,195.45898,0.0,80.84495,0.0,3041.5332,0.8231550852204963
159.0,225.93042,3.4346523,83.84417,0.0,3017.2578,0.9478741052521
160.0,216.15483,0.0,73.94676,0.0,3020.9124,0.9121894131896104
161.0,214.55833,4.27417,75.65629,0.0,3030.3035,0.9016997840927728
162.0,201.05486,1.9747558,71.75023,0.0,3071.544,0.8395135236986515
163.0,217.37811,0.0,81.87739,0.0,3022.9648,0.9142573743409654
164.0,234.04301,4.2058764,74.52333,0.0,3028.106,0.9788499767307476
165.0,167.33008,4.579961,64.375885,0.0,3009.914,0.7202443060810528
166.0,290.70645,0.0,69.68228,0.0,3065.5737,1.1856408688146793
167.0,211.84277,0.0,68.763115,0.0,3037.0747,0.8921957955530277
168.0,218.45247,0.0,70.99537,0.0,3079.727,0.9059714118275026
169.0,204.8415,0.0,73.912186,0.0,3042.5786,0.8617607778995134
170.0,218.08344,1.364961,56.296524,0.0,3031.5454,0.9213644459541827
171.0,178.55693,0.0,67.72327,0.0,3081.0266,0.7498336986551182
172.0,210.52498,0.0,64.33854,0.0,3051.9229,0.8842189332752252
173.0,234.68771,7.0864787,64.39078,0.0,3027.7527,0.9835955980394386
174.0,198.94632,0.0,66.303055,0.0,3067.1543,0.8341792764680329
175.0,212.19145,0.99452204,51.249634,0.0,3067.184,0.889925304804264
176.0,212.24998,0.0,50.06689,0.0,3020.3245,0.9034525017563787
177.0,222.17804,0.0,57.879055,0.0,3095.4377,0.9196970076957914
178.0,219.2396,0.0,54.79723,0.0,3063.1772,0.9179436327394378
179.0,189.81633,0.0,53.192303,0.0,3068.719,0.8008663615997462
180.0,250.77077,0.0,59.59355,0.0,3022.1196,1.0514531681286698
181.0,265.85605,1.9182417,56.144012,0.0,3074.8745,1.0929566718736745
182.0,203.81377,3.0587602,55.82151,0.0,3018.3914,0.8679547268325203
183.0,222.64967,0.0,52.396946,0.0,3083.9292,0.9261818724722524
184.0,197.17497,0.0,54.00989,0.0,3039.6313,0.8372000628912897
185.0,203.86664,0.0,54.509907,0.0,3068.0945,0.8563346307546533
186.0,206.65967,0.0,47.767307,0.0,3031.386,0.8788079565055938
187.0,216.65141,0.0,46.326355,0.0,3078.8662,0.9058503305118657
188.0,261.1682,0.4104383,53.99068,0.0,3075.1238,1.076249406044513
189.0,181.11139,1.8608118,47.23393,0.0,3070.8333,0.7666129434785341
190.0,223.25598,0.0,43.59491,0.0,3083.569,0.9310755975444851
191.0,235.38788,3.10062,47.352043,0.0,3042.9053,0.9880628088099181
192.0,218.25328,0.0,43.469215,0.0,3070.846,0.9150878609549008
193.0,241.5322,0.0,46.64145,0.0,3044.5437,1.0126459719668646
194.0,214.12689,0.0,39.942707,0.0,3073.1067,0.8992418131719245
195.0,206.6271,0.0,38.697174,0.0,3059.9182,0.8735043184264901
196.0,186.97635,0.0,43.301,0.0,3170.594,0.7682057684091457
197.0,196.24869,1.203891,45.456898,0.0,3083.14,0.8244402030946629
198.0,248.10701,2.5940535,38.38483,0.0,3019.0442,1.0479427260921534
199.0,227.66956,0.0,37.000893,0.0,3069.5103,0.9541066389862329
200.0,215.73526,0.919615,45.886463,0.0,3091.258,0.898804300814071
201.0,203.31284,0.0,34.38025,0.0,3103.169,0.8503297004991287
202.0,193.45712,1.5957294,39.854122,0.0,3099.6367,0.8106425642460575
203.0,216.99554,0.0,36.8911,0.0,3045.9321,0.918844074033208
204.0,212.11755,0.0,39.534023,0.0,3104.2642,0.8831747693802102
205.0,217.12494,0.0,45.976078,0.0,3086.351,0.9057681192178956
206.0,183.5135,0.6955794,40.71413,0.0,3113.3926,0.7681069633856068
207.0,233.94644,0.0,40.030247,0.0,3012.5476,0.9946280164046225
208.0,219.8686,1.014512,32.19216,0.0,3118.7634,0.9111240775164807
209.0,187.10374,1.409186,29.750648,0.0,3114.1592,0.7845190228372639
210.0,269.9018,3.4689956,34.216137,0.0,3069.424,1.116745955326367
211.0,232.60014,0.53047806,33.061096,0.0,3127.7034,0.957618784368017
212.0,205.84079,1.7623107,36.72126,0.0,3117.535,0.8555255832888279
213.0,221.60364,0.0,34.95585,0.0,3102.9285,0.9216900274730401
214.0,229.78116,0.0,21.47418,0.0,3066.5752,0.9677012596920427
215.0,202.9613,0.0,37.565094,0.0,3051.392,0.8614801249303506
216.0,185.84593,0.0,23.966265,0.0,3122.3115,0.7793149946004944
217.0,222.70274,0.2029218,32.847008,0.0,3127.9119,0.9196431890623821
218.0,254.95425,0.0,32.351162,0.0,3116.959,1.0464538282928064
219.0,242.21278,1.7999345,30.610079,0.0,3090.1323,1.005830243078967
220.0,237.10442,0.0,32.97732,0.0,3092.6204,0.9852180024915087
221.0,219.08069,0.0,26.645445,0.0,3099.7178,0.9150217893906654
222.0,208.90501,0.80397,23.447716,0.0,3061.2405,0.8860413659741043
223.0,196.84776,2.1232684,23.841457,0.0,3083.0613,0.8320037982642549
224.0,239.02953,0.0,25.4068,0.0,3056.5884,1.0056816711586676
225.0,215.20464,1.1427953,25.276947,0.0,3067.8804,0.9085936657524017
226.0,253.07857,0.2629663,28.07159,0.0,3089.6448,1.0489873408404737
227.0,265.28653,0.0,26.415194,0.0,3111.9788,1.0890492127507967
228.0,245.39003,0.0,27.234,0.0,3144.9756,1.0032676824733853
229.0,279.1837,0.0,19.934414,0.0,3065.4048,1.1594382951328643
230.0,206.94875,0.5702383,17.99015,0.0,3072.612,0.8767530381935303
231.0,197.56935,0.0,28.401752,0.0,3101.2957,0.8296846284190678
232.0,219.33649,0.0,22.537397,0.0,3099.7568,0.9171355323953038
233.0,217.22356,2.1614127,16.371864,0.0,3128.5432,0.9021801964941023
234.0,210.21214,0.0,17.283834,0.0,3161.2832,0.8667535331564876
235.0,198.70288,0.0,23.833277,0.0,3101.1743,0.8353376754569855
236.0,242.63486,2.7936609,24.030663,0.0,3106.373,1.0042767969320536
