week,S,I,A,H,C,R_t
77.0,0.0061834482,188.20651,0.5423876,0.0,353.7833,0.00016838220222188097
78.0,0.14978679,185.66238,0.5423876,0.0,356.31503,0.004077875226288989
79.0,0.0,182.81264,0.5423876,0.0,359.03094,0.0
80.0,0.02502255,180.26147,0.5423876,0.0,361.6155,0.000681510031214097
81.0,0.0,177.56503,0.5423876,0.0,364.65338,0.0
82.0,0.2832454,175.06436,0.5423876,0.0,366.37387,0.007716993632869861
83.0,0.14606929,172.51611,0.5423876,0.0,369.02026,0.003979929952587945
84.0,0.0,169.99489,0.5423876,0.0,371.90408,0.0
85.0,0.009379725,167.28595,0.5423876,0.0,373.87842,0.0002558080769468722
86.0,0.0,165.17091,0.5423876,0.0,376.9593,0.0
87.0,0.40862367,162.84906,0.5423876,0.0,379.54068,0.011110846716031615
88.0,0.26312566,160.54028,0.5423876,0.0,380.6549,0.007172313572920085
89.0,0.079962425,157.7164,0.5423876,0.0,383.33096,0.002180958101715953
90.0,0.008811738,156.28572,0.5423876,0.0,385.41418,0.00024008059949220408
91.0,0.00024702965,154.06552,0.5423876,0.0,387.82193,6.728236146517607e-06
92.0,0.0,152.11484,0.5423876,0.0,389.99567,0.0
93.0,0.0,150.16496,0.5423876,0.0,392.04434,0.0
94.0,0.0,147.4179,0.5423876,0.0,394.35458,0.0
95.0,0.0052313576,145.46407,0.5423876,0.0,396.73154,0.0001424019457963741
96.0,0.06531724,143.57521,0.5423876,0.0,398.62744,0.0017777702806000015
97.0,0.0,140.99524,0.5423876,0.0,399.8161,0.0
98.0,0.046400625,139.225,0.5423876,0.0,402.5272,0.0012640007353449416
99.0,0.0,136.69908,0.5423876,0.0,404.63522,0.0
100.0,0.0,135.67892,0.5423876,0.0,406.4626,0.0
101.0,0.0,133.56786,0.5423876,0.0,408.54196,0.0
102.0,0.0,131.06606,0.5423876,0.0,410.1435,0.0
103.0,0.058281906,129.16156,0.5423876,0.0,412.2239,0.0015886985062438814
104.0,0.0,127.67392,0.5423876,0.0,414.2329,0.0
105.0,0.0,125.3541,0.5423876,0.0,416.06604,0.0
106.0,0.11703847,124.351326,0.5423876,0.0,417.3441,0.0031881669111178987
107.0,0.0041105524,122.359245,0.5423876,0.0,419.6049,0.00011194065694993884
108.0,0.0,120.53951,0.5423876,0.0,421.3126,0.0
109.0,0.2480739,118.8013,0.5423876,0.0,422.89554,0.0067559655850342555
110.0,0.0,117.19754,0.5423876,0.0,424.1394,0.0
111.0,0.0,114.643616,0.5423876,0.0,425.9959,0.0
112.0,0.103480265,113.360954,0.5423876,0.0,427.50494,0.002823225399796164
113.0,0.0,112.18602,0.5423876,0.0,429.87125,0.0
114.0,0.0,110.382195,0.5423876,0.0,430.89413,0.0
115.0,0.0,109.33099,0.5423876,0.0,432.8498,0.0
116.0,0.0,108.06704,0.5423876,0.0,434.5311,0.0
117.0,0.0,106.07186,0.5423876,0.0,435.67313,0.0
118.0,0.2662799,104.865875,0.5423876,0.0,437.11536,0.007247739200720619
119.0,0.060043253,103.44877,0.5423876,0.0,438.24768,0.001635766935704337
120.0,0.03049632,101.91042,0.5423876,0.0,440.11276,0.0008303605516230058
