week,S,I,P,C,E,Q,D,A,W,R,R_t
220.0,288.00076,28.04277,0.0,144.84412,21.586758,24.72378,0.0,0.0,8.166502,2768.439,1.5760006087050455
221.0,298.09546,29.948435,0.0,145.43307,22.571848,25.097115,0.0,0.0026282284,8.235634,2763.7056,1.6266638038982115
222.0,289.92743,29.165186,0.0,146.74312,19.885336,25.079105,0.0,0.0145059265,6.6648903,2752.021,1.5927684082868478
223.0,280.90903,31.335047,0.0,144.13237,23.682802,25.104383,0.0,0.0027588175,7.2671623,2767.7905,1.5384519549793194
224.0,280.40988,27.85283,0.0,144.72221,21.960787,25.734985,0.0,0.0,7.1197057,2757.8203,1.542531298449756
225.0,284.1053,33.971962,0.0,147.54518,20.569138,22.011265,0.0,0.0043543866,7.661338,2777.559,1.5498910760742837
226.0,286.44763,31.272263,0.0,143.72792,23.345243,24.816673,0.0,0.0,7.6017222,2755.9329,1.5723470646465947
227.0,280.12607,28.662392,0.0,145.43817,22.255789,25.205957,0.0,0.003108733,8.639852,2761.0122,1.5389851235156118
228.0,284.39026,31.614601,0.0,144.3054,23.674875,25.616348,0.0,0.0038380595,7.737747,2771.7153,1.5535476363065415
229.0,278.90875,30.850761,0.0,144.5473,24.951603,25.813223,0.0,0.0,7.466063,2777.301,1.523115319705466
230.0,281.6834,34.58963,0.0,146.08392,22.263062,26.401985,0.0,0.0,8.019891,2765.2407,1.5411364048248002
231.0,269.12485,31.715958,0.0,144.82588,24.814657,25.84125,0.0,0.0,8.970315,2757.3882,1.48263204167639
232.0,277.80838,32.794136,0.0,145.56555,19.286097,26.378405,0.0,0.0064320993,8.764964,2765.0515,1.524295940405848
233.0,267.2822,36.747807,0.0,144.42583,23.777905,25.355457,0.0,0.0,8.573137,2782.6506,1.4605719791893692
234.0,285.0909,37.63295,0.0,143.34238,20.977621,25.98028,0.0,0.009111841,9.001055,2757.2031,1.5626537511803518
235.0,273.77878,33.96382,0.0,144.58609,22.790346,24.797976,0.0,0.0007051551,8.695224,2762.3813,1.504300293083136
236.0,286.64523,31.31199,0.0,145.4472,21.153486,27.115627,0.0,1.7201979e-05,8.01381,2770.174,1.5656145214508512
237.0,265.72482,36.58586,0.0,146.52211,25.263178,27.273191,0.0,0.016015967,8.991076,2779.7256,1.4516762293523315
238.0,270.51187,28.295404,0.0,144.68019,21.047327,26.594168,0.0,0.002183863,8.541474,2783.762,1.4806340420805464
239.0,280.2384,31.364271,0.0,143.6373,21.919802,26.280443,0.0,0.0050079054,8.719449,2787.0574,1.5265953758691182
240.0,274.68103,28.485369,0.0,142.92343,22.423077,26.690113,0.0,0.0,8.364072,2770.8777,1.507510294141281
241.0,281.28238,29.992704,0.0,144.91006,25.623716,27.03259,0.0,0.0039115255,9.104198,2783.9163,1.5312311860954226
242.0,265.95993,34.490467,0.0,143.52126,26.036507,26.976719,0.0,0.008104635,9.052663,2772.324,1.458202083180418
243.0,257.53607,34.58546,0.0,143.95471,22.396065,25.900124,0.0,0.0007634893,8.789795,2785.458,1.4117937790968842
244.0,267.5051,32.29892,0.0,142.04312,23.391665,27.910288,0.0,0.0069856895,9.057551,2795.8845,1.457878587220284
245.0,262.5554,35.239357,0.0,141.819,21.748056,26.882029,0.0,0.0028915547,8.62164,2772.2595,1.4434256942229315
246.0,259.35864,32.112732,0.0,143.55165,23.573217,27.070923,0.0,0.0014753785,7.5747485,2767.8691,1.4289051482757278
247.0,269.73682,32.54073,0.0,142.89592,21.123526,26.591925,0.0,0.002164094,8.400022,2778.5986,1.4779277348381326
248.0,257.70193,31.516468,0.0,142.82207,26.107498,28.557901,0.0,0.0,9.721658,2783.037,1.4127411459308827
249.0,258.06006,39.365425,0.0,142.8606,20.561298,27.380764,0.0,0.0,7.987342,2783.777,1.413726281358564
250.0,266.1074,32.671577,0.0,143.32007,20.63742,27.423222,0.0,0.0,8.387982,2771.3765,1.4624912375315626
