day,S,I,A,H,C,R_t
0.0,541.0028686523438,0.8800210952758789,0.5423876047134399,0.0,0.5574618577957153,14.720056046865846
1.0,540.0589686802456,1.734523091997419,0.5423876047134399,0.0,0.47782444953918457,14.698910035825644
2.0,539.1150687081473,2.589025088718959,0.5423876047134399,0.0,0.3981870412826538,14.677764024785443
3.0,538.1711687360491,3.4435270854404996,0.5423876047134399,0.0,0.31854963302612305,14.656618013745241
4.0,537.2272687639509,4.2980290821620395,0.5423876047134399,0.0,0.23891222476959229,14.63547200270504
5.0,536.2833687918527,5.152531078883579,0.5423876047134399,0.0,0.15927481651306152,14.614325991664838
6.0,535.3394688197544,6.00703307560512,0.5423876047134399,0.0,0.07963740825653076,14.593179980624637
7.0,534.3955688476562,6.86153507232666,0.5423876047134399,0.0,0.0,14.572033969584435
8.0,527.8555341448102,13.433326993669782,0.5423876047134399,0.0,0.021076883588518416,14.392400257913652
9.0,521.3154994419643,20.005118915012904,0.5423876047134399,0.0,0.04215376717703683,14.212766546242868
10.0,514.7754647391183,26.576910836356028,0.5423876047134399,0.0,0.06323065076555524,14.033132834572084
11.0,508.2354300362723,33.14870275769915,0.5423876047134399,0.0,0.08430753435407366,13.853499122901303
12.0,501.69539533342635,39.72049467904227,0.5423876047134399,0.0,0.10538441794259208,13.67386541123052
13.0,495.1553606305804,46.292286600385395,0.5423876047134399,0.0,0.1264613015311105,13.494231699559736
14.0,488.6153259277344,52.864078521728516,0.5423876047134399,0.0,0.1475381851196289,13.314597987888952
15.0,460.7975420270647,80.40446145193917,0.5423876047134399,0.0,0.4766124997820173,12.555810272816402
16.0,432.9797581263951,107.94484438214982,0.5423876047134399,0.0,0.8056868144444057,11.797022557743851
17.0,405.16197422572543,135.4852273123605,0.5423876047134399,0.0,1.134761129106794,11.0382348426713
18.0,377.3441903250558,163.02561024257113,0.5423876047134399,0.0,1.4638354437691825,10.27944712759875
19.0,349.52640642438615,190.56599317278182,0.5423876047134399,0.0,1.792909758431571,9.5206594125262
20.0,321.7086225237165,218.10637610299247,0.5423876047134399,0.0,2.121984073093959,8.761871697453648
21.0,293.8908386230469,245.64675903320312,0.5423876047134399,0.0,2.4510583877563477,8.003083982381098
22.0,262.3690392630441,276.4050728934152,0.5423876047134399,0.0,3.164047922406878,7.144884322018752
23.0,230.8472399030413,307.1633867536272,0.5423876047134399,0.0,3.877037457057408,6.286684661656407
24.0,199.3254405430385,337.9217006138393,0.5423876047134399,0.0,4.590026991707938,5.428485001294062
25.0,167.80364118303572,368.68001447405135,0.5423876047134399,0.0,5.303016526358468,4.570285340931717
26.0,136.28184182303292,399.43832833426336,0.5423876047134399,0.0,6.016006061008999,3.7120856805693725
27.0,104.76004246303012,430.19664219447543,0.5423876047134399,0.0,6.728995595659528,2.8538860202070273
28.0,73.23824310302734,460.9549560546875,0.5423876047134399,0.0,7.441985130310059,1.9956863598446821
29.0,66.14687401907784,467.0238298688616,0.5423876047134399,0.0,8.402569770812988,1.8025254391450516
30.0,59.05550493512835,473.0927036830357,0.5423876047134399,0.0,9.363154411315918,1.609364518445421
31.0,51.96413585117885,479.1615774972098,0.5423876047134399,0.0,10.323739051818848,1.4162035977457905
32.0,44.87276676722935,485.23045131138394,0.5423876047134399,0.0,11.284323692321777,1.22304267704616
33.0,37.781397683279856,491.299325125558,0.5423876047134399,0.0,12.244908332824707,1.0298817563465295
34.0,30.69002859933036,497.3681989397321,0.5423876047134399,0.0,13.205492973327637,0.8367208356468987
35.0,23.59865951538086,503.43707275390625,0.5423876047134399,0.0,14.166077613830566,0.6435599149472682
36.0,21.359254223959788,504.6195547921317,0.5423876047134399,0.0,15.335333142961774,0.5824442740669917
37.0,19.119848932538716,505.80203683035717,0.5423876047134399,0.0,16.504588672092982,0.5213286331867152
38.0,16.88044364111764,506.9845188685826,0.5423876047134399,0.0,17.673844201224192,0.46021299230643875
39.0,14.641038349696569,508.167000906808,0.5423876047134399,0.0,18.843099730355398,0.3990973514261622
40.0,12.401633058275497,509.34948294503346,0.5423876047134399,0.0,20.012355259486608,0.33798171054588577
41.0,10.162227766854423,510.53196498325894,0.5423876047134399,0.0,21.181610788617817,0.2768660696656093
42.0,7.92282247543335,511.7144470214844,0.5423876047134399,0.0,22.350866317749023,0.2157504287853328
43.0,7.2172055925641745,511.3969464983259,0.5423876047134399,0.0,23.30957739693778,0.19654506778701933
44.0,6.5115887096949985,511.0794459751674,0.5423876047134399,0.0,24.268288476126536,0.17733970678870586
45.0,5.805971826825823,510.76194545200894,0.5423876047134399,0.0,25.226999555315288,0.15813434579039237
46.0,5.100354943956647,510.44444492885043,0.5423876047134399,0.0,26.185710634504044,0.13892898479207894
47.0,4.394738061087472,510.126944405692,0.5423876047134399,0.0,27.1444217136928,0.11972362379376546
48.0,3.689121178218297,509.80944388253346,0.5423876047134399,0.0,28.103132792881556,0.10051826279545198
49.0,2.983504295349121,509.491943359375,0.5423876047134399,0.0,29.061843872070312,0.08131290179713851
50.0,2.698603323527745,508.7289472307478,0.5423876047134399,0.0,30.181056431361608,0.07354462174863867
51.0,2.4137023517063687,507.9659511021205,0.5423876047134399,0.0,31.300268990652903,0.06577634170013881
52.0,2.128801379884992,507.2029549734933,0.5423876047134399,0.0,32.419481549944194,0.058008061651638965
53.0,1.843900408063616,506.43995884486606,0.5423876047134399,0.0,33.53869410923549,0.050239781603139105
54.0,1.55899943624224,505.67696271623885,0.5423876047134399,0.0,34.657906668526785,0.04247150155463926
