day,S,I,P,C,E,Q,D,A,W,R,R_t
0.0,3254.975341796875,1.3207834959030151,0.0,0.20176853239536285,15.368246078491211,0.0,0.0,3.280508041381836,1.0004329681396484,0.0,17.81457570052852
1.0,3251.5043596540177,3.019841091973441,0.0,0.5866872029645103,17.59196880885533,0.0,0.0,3.223703452519008,0.9795415827206203,0.13507286991391862,17.79064880647958
2.0,3248.033377511161,4.718898688043867,0.0,0.9716058735336576,19.815691539219447,0.0,0.0,3.16689886365618,0.9586501973015922,0.27014573982783724,17.766721912430647
3.0,3244.5623953683034,6.417956284114293,0.0,1.3565245441028049,22.039414269583567,0.0,0.0,3.110094274793352,0.9377588118825639,0.40521860974175583,17.74279501838171
4.0,3241.0914132254466,8.117013880184718,0.0,1.7414432146719523,24.263136999947683,0.0,0.0,3.0532896859305247,0.9168674264635358,0.5402914796556745,17.718868124332772
5.0,3237.620431082589,9.816071476255145,0.0,2.1263618852410997,26.486859730311803,0.0,0.0,2.996485097067697,0.8959760410445077,0.6753643495695931,17.694941230283835
6.0,3234.1494489397323,11.515129072325571,0.0,2.511280555810247,28.710582460675923,0.0,0.0,2.939680508204869,0.8750846556254795,0.8104372194835117,17.6710143362349
7.0,3230.678466796875,13.214186668395996,0.0,2.8961992263793945,30.93430519104004,0.0,0.0,2.882875919342041,0.8541932702064514,0.9455100893974304,17.647087442185963
8.0,3219.4927106584823,15.810570308140345,0.0,3.0061796052115306,38.12445667811802,0.06740435532161168,0.0,2.831045457295009,1.0157861879893713,0.8104372194835118,17.593401360820895
9.0,3208.306954520089,18.406953947884695,0.0,3.1161599840436662,45.314608165196006,0.13480871064322336,0.0,2.779214995247977,1.1773791057722909,0.6753643495695931,17.539715279455827
10.0,3197.1211983816966,21.003337587629048,0.0,3.2261403628758023,52.504759652274,0.20221306596483504,0.0,2.727384533200945,1.3389720235552107,0.5402914796556746,17.48602919809076
11.0,3185.9354422433034,23.599721227373394,0.0,3.336120741707938,59.69491113935198,0.2696174212864467,0.0,2.6755540711539134,1.5005649413381303,0.40521860974175594,17.432343116725686
12.0,3174.749686104911,26.196104867117747,0.0,3.446101120540074,66.88506262642997,0.33702177660805843,0.0,2.6237236091068814,1.6621578591210502,0.2701457398278373,17.378657035360618
13.0,3163.5639299665177,28.792488506862096,0.0,3.55608149937221,74.07521411350795,0.4044261319296701,0.0,2.5718931470598494,1.82375077690397,0.13507286991391876,17.32497095399555
14.0,3152.378173828125,31.388872146606445,0.0,3.6660618782043457,81.26536560058594,0.47183048725128174,0.0,2.5200626850128174,1.9853436946868896,0.0,17.27128487263048
15.0,3125.7672991071427,38.16958890642439,0.0,3.6074178559439525,98.13674708775112,0.9181642191750663,0.0,2.475989818572998,2.3799148968287875,4.280859810965402,17.117244647065824
16.0,3099.156424386161,44.95030566624233,0.0,3.548773833683559,115.0081285749163,1.3644979510988509,0.0,2.4319169521331787,2.7744860989706854,8.561719621930804,16.963204421501167
17.0,3072.5455496651784,51.731022426060264,0.0,3.4901298114231656,131.87951006208147,1.8108316830226352,0.0,2.3878440856933594,3.1690573011125838,12.842579432896205,16.80916419593651
18.0,3045.9346749441966,58.51173918587821,0.0,3.431485789162772,148.75089154924666,2.25716541494642,0.0,2.34377121925354,3.5636285032544817,17.123439243861608,16.65512397037185
19.0,3019.323800223214,65.29245594569615,0.0,3.3728417669023787,165.62227303641183,2.7034991468702043,0.0,2.2996983528137207,3.9581997053963796,21.40429905482701,16.501083744807193
20.0,2992.7129255022323,72.07317270551408,0.0,3.3141977446419855,182.493654523577,3.1498328787939887,0.0,2.2556254863739014,4.352770907538278,25.68515886579241,16.347043519242536
21.0,2966.10205078125,78.85388946533203,0.0,3.255553722381592,199.3650360107422,3.5961666107177734,0.0,2.211552619934082,4.747342109680176,29.966018676757812,16.19300329367788
22.0,2908.0895647321427,94.39178030831474,0.0,4.208829743521554,234.97577340262276,4.365802901131766,0.0,2.173337834221976,6.022206578935895,33.58197130475725,15.882968809499149
23.0,2850.077078683036,109.92967115129744,0.0,5.162105764661517,270.58651079450334,5.135439191545759,0.0,2.1351230485098704,7.297071048191615,37.197923932756694,15.572934325320418
24.0,2792.0645926339284,125.46756199428013,0.0,6.115381785801478,306.19724818638394,5.905075481959752,0.0,2.0969082627977644,8.571935517447336,40.81387656075614,15.262899841141685
25.0,2734.0521065848216,141.00545283726285,0.0,7.068657806941442,341.8079855782645,6.674711772373744,0.0,2.0586934770856584,9.846799986703054,44.429829188755576,14.952865356962954
26.0,2676.039620535714,156.54334368024553,0.0,8.021933828081403,377.4187229701451,7.444348062787737,0.0,2.0204786913735524,11.121664455958776,48.045781816755024,14.642830872784224
27.0,2618.027134486607,172.08123452322823,0.0,8.975209849221365,413.0294603620257,8.213984353201731,0.0,1.9822639056614466,12.396528925214495,51.661734444754465,14.332796388605493
28.0,2560.0146484375,187.61912536621094,0.0,9.928485870361328,448.64019775390625,8.983620643615723,0.0,1.9440491199493408,13.671393394470215,55.277687072753906,14.022761904426762
29.0,2455.8611886160716,219.53441074916296,0.0,12.009600775582449,507.2027326311384,10.545495986938477,0.0,1.9096596240997314,16.26921762738909,64.21091134207589,13.455733197856137
30.0,2351.7077287946427,251.44969613211495,0.0,14.090715680803571,565.7652675083706,12.10737133026123,0.0,1.875270128250122,18.867041860307964,73.14413561139787,12.888704491285512
31.0,2247.554268973214,283.364981515067,0.0,16.171830586024694,624.3278023856027,13.669246673583984,0.0,1.8408806324005127,21.464866093226842,82.07735988071987,12.321675784714888
