day,S,I,V,D,C,E,P,H,A,Q,R_t
0.0,3178.88330078125,8.836278915405273,1.5272997617721558,0.0,1.5289877653121948,10.041080474853516,0.0,0.0,3.203627824783325,0.0,8.172578723898857
1.0,3177.9756905691966,8.350192478724889,5.745846509933472,0.0,1.3222962862678938,11.232034683227539,0.0,0.0,3.203627824783325,0.0,8.160628796079731
2.0,3177.0680803571427,7.8641060420445035,9.964393258094788,0.0,1.1156048072235925,12.422988891601562,0.0,0.0,3.203627824783325,0.0,8.148678868260607
3.0,3176.160470145089,7.378019605364118,14.182940006256104,0.0,0.9089133281792914,13.613943099975586,0.0,0.0,3.203627824783325,0.0,8.13672894044148
4.0,3175.252859933036,6.8919331686837335,18.40148675441742,0.0,0.7022218491349902,14.80489730834961,0.0,0.0,3.203627824783325,0.0,8.124779012622357
5.0,3174.3452497209823,6.405846732003348,22.620033502578735,0.0,0.495530370090689,15.995851516723633,0.0,0.0,3.203627824783325,0.0,8.11282908480323
6.0,3173.4376395089284,5.919760295322963,26.83858025074005,0.0,0.28883889104638794,17.186805725097656,0.0,0.0,3.203627824783325,0.0,8.100879156984107
7.0,3172.530029296875,5.433673858642578,31.057126998901367,0.0,0.08214741200208664,18.37775993347168,0.0,0.0,3.203627824783325,0.0,8.08892922916498
8.0,3162.838623046875,6.954901831490653,35.05014092581613,0.0,0.0802338719367981,19.173622131347656,0.0,0.022362332258905684,3.203627824783325,0.006456270813941956,8.072498525998808
9.0,3153.147216796875,8.476129804338727,39.043154852730886,0.0,0.07832033187150955,19.969484329223633,0.0,0.04472466451781137,3.203627824783325,0.012912541627883911,8.056067822832638
10.0,3143.455810546875,9.997357777186803,43.03616877964565,0.0,0.07640679180622101,20.76534652709961,0.0,0.06708699677671705,3.203627824783325,0.019368812441825867,8.039637119666466
11.0,3133.764404296875,11.518585750034877,47.029182706560405,0.0,0.07449325174093246,21.561208724975586,0.0,0.08944932903562273,3.203627824783325,0.025825083255767822,8.023206416500294
12.0,3124.072998046875,13.039813722882952,51.02219663347517,0.0,0.07257971167564392,22.357070922851562,0.0,0.11181166129452842,3.203627824783325,0.03228135406970978,8.006775713334122
13.0,3114.381591796875,14.561041695731028,55.01521056038993,0.0,0.07066617161035538,23.15293312072754,0.0,0.1341739935534341,3.203627824783325,0.03873762488365173,7.9903450101679505
14.0,3104.690185546875,16.0822696685791,59.00822448730469,0.0,0.06875263154506683,23.948795318603516,0.0,0.15653632581233978,3.203627824783325,0.04519389569759369,7.973914307001779
15.0,3093.840750558036,16.706756319318497,64.1019036429269,1.9227951594761439,2.3323250029768263,26.246190752301896,0.0,0.818807589156287,3.203627824783325,0.03873762488365173,7.945841850240591
16.0,3082.9913155691966,17.331242970057897,69.19558279854911,3.8455903189522878,4.595897374408586,28.54358618600028,0.0,1.4810788525002343,3.203627824783325,0.03228135406970978,7.9177693934794044
17.0,3072.1418805803573,17.955729620797293,74.28926195417132,5.768385478428431,6.859469745840345,30.84098161969866,0.0,2.1433501158441817,3.203627824783325,0.025825083255767822,7.889696936718217
18.0,3061.2924455915177,18.580216271536692,79.38294110979353,7.6911806379045755,9.123042117272105,33.13837705339704,0.0,2.805621379188129,3.203627824783325,0.019368812441825867,7.86162447995703
19.0,3050.4430106026784,19.204702922276088,84.47662026541573,9.61397579738072,11.386614488703865,35.43577248709542,0.0,3.467892642532076,3.203627824783325,0.012912541627883911,7.833552023195842
20.0,3039.593575613839,19.829189573015487,89.57029942103794,11.536770956856863,13.650186860135623,37.733167920793804,0.0,4.1301639058760236,3.203627824783325,0.006456270813941956,7.805479566434655
21.0,3028.744140625,20.453676223754883,94.66397857666016,13.459566116333008,15.913759231567383,40.03056335449219,0.0,4.792435169219971,3.203627824783325,0.0,7.777407109673467
22.0,3008.143868582589,23.451226370675222,99.38694981166294,13.956071853637695,13.640365055629186,43.35720934186663,0.0,4.3949881962367465,3.203627824783325,0.09925448043005806,7.753266318985118
23.0,2987.5435965401784,26.44877651759556,104.10992104666573,14.452577590942383,11.366970879690989,46.68385532924107,0.0,3.9975412232535223,3.203627824783325,0.19850896086011613,7.729125528296771
24.0,2966.9433244977677,29.446326664515905,108.83289228166852,14.94908332824707,9.09357670375279,50.01050131661552,0.0,3.6000942502702986,3.203627824783325,0.2977634412901742,7.704984737608422
25.0,2946.3430524553573,32.44387681143624,113.55586351667131,15.445589065551758,6.820182527814593,53.33714730398995,0.0,3.2026472772870744,3.203627824783325,0.39701792172023226,7.680843946920074
26.0,2925.7427804129466,35.44142695835659,118.27883475167411,15.942094802856445,4.546788351876396,56.6637932913644,0.0,2.8052003043038503,3.203627824783325,0.49627240215029034,7.656703156231726
27.0,2905.142508370536,38.438977105276926,123.0018059866769,16.438600540161133,2.273394175938197,59.99043927873884,0.0,2.4077533313206265,3.203627824783325,0.5955268825803484,7.632562365543378
28.0,2884.542236328125,41.436527252197266,127.72477722167969,16.93510627746582,0.0,63.31708526611328,0.0,2.0103063583374023,3.203627824783325,0.6947813630104065,7.608421574855029
29.0,2880.01171875,45.44288962227957,132.94539751325334,14.515805380684988,0.7448250906808036,67.24403926304409,0.0,4.2443888528006415,3.203627824783325,0.6911591802324567,7.569232461946208
30.0,2875.481201171875,49.44925199236189,138.16601780482702,12.096504483904157,1.4896501813616072,71.17099325997489,0.0,6.4784713472638815,3.203627824783325,0.687536997454507,7.530043349037387
31.0,2870.95068359375,53.455614362444194,143.38663809640067,9.677203587123326,2.2344752720424106,75.09794725690568,0.0,8.712553841727122,3.203627824783325,0.6839148146765572,7.490854236128565
