day,S,I,Q,R_t
0.0,4002.1005859375,4.015315055847168,0.031563740223646164,8.267406042755185
1.0,4000.9730050223216,5.060201644897461,0.04993064807994025,8.26520922794925
2.0,3999.8454241071427,6.105088233947754,0.06829755593623434,8.263012413143311
3.0,3998.717843191964,7.149974822998047,0.08666446379252843,8.260815598337375
4.0,3997.590262276786,8.19486141204834,0.10503137164882251,8.258618783531439
5.0,3996.4626813616073,9.239748001098633,0.12339827950511659,8.256421968725503
6.0,3995.3351004464284,10.284634590148926,0.1417651873614107,8.254225153919565
7.0,3994.20751953125,11.329521179199219,0.16013209521770477,8.252028339113629
8.0,3991.3873116629466,13.852427073887416,0.3006849672113146,8.246523199371724
9.0,3988.5671037946427,16.375332968575613,0.44123783920492443,8.241018059629818
10.0,3985.746895926339,18.898238863263813,0.5817907111985343,8.235512919887913
11.0,3982.926688058036,21.421144757952007,0.7223435831921441,8.230007780146007
12.0,3980.1064801897323,23.944050652640207,0.8628964551857539,8.224502640404102
13.0,3977.2862723214284,26.466956547328405,1.0034493271793639,8.218997500662196
14.0,3974.466064453125,28.9898624420166,1.1440021991729736,8.213492360920291
15.0,3969.6548200334823,33.570359911237446,1.3961832863943917,8.203506024149268
16.0,3964.843575613839,38.15085738045829,1.6483643736158098,8.193519687378245
17.0,3960.0323311941966,42.73135484967913,1.900545460837228,8.183533350607222
18.0,3955.2210867745534,47.31185231889997,2.152726548058646,8.173547013836199
19.0,3950.409842354911,51.89234978812082,2.4049076352800642,8.163560677065176
20.0,3945.5985979352677,56.472847257341655,2.6570887225014825,8.153574340294153
21.0,3940.787353515625,61.0533447265625,2.9092698097229004,8.14358800352313
22.0,3934.613106863839,66.95324271065849,3.3557053974696567,8.13048300590424
23.0,3928.4388602120534,72.85314069475446,3.802140985216413,8.117378008285353
24.0,3922.2646135602677,78.75303867885044,4.24857657296317,8.104273010666464
25.0,3916.0903669084823,84.65293666294643,4.6950121607099256,8.091168013047575
26.0,3909.9161202566966,90.5528346470424,5.141447748456683,8.078063015428686
27.0,3903.741873604911,96.45273263113839,5.587883336203439,8.064958017809799
28.0,3897.567626953125,102.35263061523438,6.034318923950195,8.05185302019091
29.0,3891.169852120536,107.9935062953404,6.650875636509487,8.038914985144437
30.0,3884.7720772879466,113.63438197544643,7.267432349068778,8.025976950097963
31.0,3878.3743024553573,119.27525765555245,7.8839890616280695,8.01303891505149
32.0,3871.9765276227677,124.91613333565849,8.50054577418736,8.000100880005018
33.0,3865.5787527901784,130.55700901576452,9.117102486746653,7.987162844958544
34.0,3859.180977957589,136.19788469587053,9.733659199305944,7.974224809912071
35.0,3852.783203125,141.83876037597656,10.350215911865234,7.961286774865598
36.0,3847.141775948661,146.90364292689733,11.05073778969901,7.94938561327253
37.0,3841.5003487723216,151.96852547781808,11.751259667532784,7.937484451679461
38.0,3835.8589215959823,157.03340802873885,12.45178154536656,7.925583290086394
39.0,3830.2174944196427,162.0982905796596,13.152303423200335,7.913682128493325
40.0,3824.5760672433034,167.16317313058036,13.852825301034109,7.901780966900257
41.0,3818.934640066964,172.2280556815011,14.553347178867885,7.889879805307189
42.0,3813.293212890625,177.29293823242188,15.25386905670166,7.877978643714121
43.0,3808.4991629464284,181.31860133579798,16.10017694745745,7.867922622898044
44.0,3803.7051130022323,185.3442644391741,16.94648483821324,7.857866602081967
45.0,3798.911063058036,189.36992754255022,17.79279272896903,7.8478105812658905
46.0,3794.117013113839,193.39559064592635,18.639100619724818,7.837754560449813
47.0,3789.3229631696427,197.42125374930245,19.48540851048061,7.827698539633737
48.0,3784.5289132254466,201.44691685267858,20.3317164012364,7.817642518817659
49.0,3779.73486328125,205.4725799560547,21.178024291992188,7.807586498001583
50.0,3775.428466796875,208.79002380371094,21.97372273036412,7.799064749696125
51.0,3771.1220703125,212.1074676513672,22.76942116873605,7.790543001390668
52.0,3766.815673828125,215.42491149902344,23.56511960710798,7.78202125308521
53.0,3762.50927734375,218.7423553466797,24.36081804547991,7.773499504779753
54.0,3758.202880859375,222.05979919433594,25.156516483851842,7.764977756474296
55.0,3753.896484375,225.3772430419922,25.952214922223774,7.756456008168838
56.0,3749.590087890625,228.69468688964844,26.747913360595703,7.7479342598633805
57.0,3746.006033761161,231.39004516601562,27.567564828055247,7.740661071541321
58.0,3742.4219796316966,234.0854034423828,28.387216295514786,7.73338788321926
59.0,3738.8379255022323,236.78076171875,29.20686776297433,7.7261146948972
60.0,3735.2538713727677,239.4761199951172,30.026519230433873,7.71884150657514
61.0,3731.6698172433034,242.17147827148438,30.846170697893413,7.7115683182530805
62.0,3728.085763113839,244.86683654785156,31.665822165352957,7.70429512993102
63.0,3724.501708984375,247.56219482421875,32.4854736328125,7.69702194160896
64.0,3721.6013532366073,249.7661612374442,33.27847562517439,7.690843439534157
65.0,3718.700997488839,251.97012765066964,34.071477617536274,7.684664937459353
66.0,3715.8006417410716,254.1740940638951,34.86447960989816,7.67848643538455
67.0,3712.9002859933034,256.3780604771205,35.65748160226004,7.672307933309747
68.0,3709.999930245536,258.58202689034596,36.45048359462193,7.6661294312349435
69.0,3707.0995744977677,260.78599330357144,37.243485586983816,7.65995092916014
70.0,3704.19921875,262.9899597167969,38.0364875793457,7.653772427085337
71.0,3701.7117047991073,264.83667428152904,38.73067855834961,7.648531081603134
72.0,3699.224190848214,266.68338884626115,39.424869537353516,7.6432897361209315
73.0,3696.7366768973216,268.5301034109933,40.11906051635742,7.638048390638729
74.0,3694.2491629464284,270.37681797572543,40.81325149536133,7.632807045156527
75.0,3691.761648995536,272.2235325404576,41.507442474365234,7.627565699674324
76.0,3689.2741350446427,274.0702471051897,42.20163345336914,7.622324354192122
77.0,3686.78662109375,275.9169616699219,42.89582443237305,7.617083008709919
78.0,3684.681466238839,277.3911873953683,43.531012943812776,7.612725587699895
79.0,3682.5763113839284,278.8654131208147,44.16620145525251,7.608368166689871
80.0,3680.4711565290177,280.33963884626115,44.80138996669224,7.604010745679847
81.0,3678.3660016741073,281.8138645717076,45.43657847813198,7.599653324669824
82.0,3676.2608468191966,283.28809029715404,46.07176698957171,7.5952959036598005
83.0,3674.155691964286,284.76231602260043,46.706955501011436,7.5909384826497766
84.0,3672.050537109375,286.2365417480469,47.34214401245117,7.586581061639753
85.0,3670.103097098214,287.4945373535156,47.9508181980678,7.582710015243177
86.0,3668.1556570870534,288.7525329589844,48.55949238368443,7.578838968846602
87.0,3666.2082170758927,290.0105285644531,49.16816656930106,7.574967922450027
88.0,3664.2607770647323,291.2685241699219,49.77684075491769,7.571096876053452
89.0,3662.3133370535716,292.5265197753906,50.38551494053432,7.567225829656876
90.0,3660.365897042411,293.7845153808594,50.99418912615095,7.563354783260301
91.0,3658.41845703125,295.0425109863281,51.60286331176758,7.559483736863726
92.0,3656.8690359933034,295.9696306501116,52.172851017543245,7.556380585846221
93.0,3655.3196149553573,296.8967503138951,52.74283872331892,7.553277434828717
94.0,3653.770193917411,297.82386997767856,53.312826429094585,7.550174283811212
95.0,3652.220772879464,298.75098964146207,53.88281413487026,7.547071132793708
96.0,3650.6713518415177,299.6781093052455,54.452801840645925,7.543967981776204
97.0,3649.1219308035716,300.60522896902904,55.02278954642159,7.540864830758699
98.0,3647.572509765625,301.5323486328125,55.592777252197266,7.537761679741195
99.0,3646.238595145089,302.3848440987723,56.07185908726284,7.535009513892194
100.0,3644.9046805245534,303.23733956473217,56.5509409223284,7.532257348043193
101.0,3643.5707659040177,304.089835030692,57.03002275739397,7.5295051821941925
102.0,3642.2368512834823,304.9423304966518,57.50910459245954,7.526753016345191
103.0,3640.9029366629466,305.7948259626116,57.988186427525115,7.524000850496191
104.0,3639.569022042411,306.64732142857144,58.46726826259068,7.5212486846471895
105.0,3638.235107421875,307.49981689453125,58.94635009765625,7.518496518798189
106.0,3637.105712890625,308.26807948521207,59.345215388706755,7.516091916016014
107.0,3635.976318359375,309.03634207589283,59.74408067975725,7.513687313233837
108.0,3634.846923828125,309.80460466657365,60.14294597080776,7.5112827104516615
109.0,3633.717529296875,310.5728672572545,60.54181126185826,7.508878107669485
110.0,3632.588134765625,311.3411298479353,60.94067655290876,7.5064735048873095
111.0,3631.458740234375,312.10939243861606,61.33954184395926,7.504068902105133
112.0,3630.329345703125,312.8776550292969,61.738407135009766,7.501664299322957
113.0,3629.312325613839,313.49661690848217,62.14170946393694,7.4995529391225615
114.0,3628.2953055245534,314.1155787876674,62.545011792864116,7.4974415789221664
115.0,3627.2782854352677,314.7345406668527,62.94831412179129,7.4953302187217705
116.0,3626.2612653459823,315.35350254603793,63.351616450718474,7.493218858521375
117.0,3625.2442452566966,315.9724644252232,63.75491877964565,7.491107498320979
118.0,3624.227225167411,316.59142630440846,64.15822110857282,7.488996138120584
119.0,3623.210205078125,317.21038818359375,64.5615234375,7.486884777920188
120.0,3622.4433942522323,317.66558837890625,64.88683210100446,7.48527469629067
121.0,3621.676583426339,318.12078857421875,65.21214076450893,7.483664614661151
122.0,3620.9097726004466,318.57598876953125,65.53744942801339,7.482054533031634
123.0,3620.1429617745534,319.03118896484375,65.86275809151786,7.480444451402116
124.0,3619.376150948661,319.48638916015625,66.18806675502232,7.478834369772598
125.0,3618.6093401227677,319.94158935546875,66.51337541852679,7.47722428814308
126.0,3617.842529296875,320.39678955078125,66.83868408203125,7.475614206513562
127.0,3617.1596330915177,320.8581978934152,67.11772918701172,7.474095845785348
128.0,3616.476736886161,321.3196062360491,67.39677429199219,7.472577485057134
129.0,3615.7938406808034,321.781014578683,67.67581939697266,7.47105912432892
130.0,3615.1109444754466,322.242422921317,67.95486450195312,7.4695407636007065
131.0,3614.428048270089,322.7038312639509,68.2339096069336,7.468022402872492
132.0,3613.7451520647323,323.1652396065848,68.51295471191406,7.466504042144279
133.0,3613.062255859375,323.62664794921875,68.79199981689453,7.4649856814160644
