week,S,I,W,V,P,C,Q,R,R_t
62.0,4.0143356,0.0,3.8266456,55.511642,0.0,88.035774,1.1304394,2972.6707,0.017921590314467356
63.0,18.442623,0.0,0.0,55.094254,0.0,86.51852,0.22069423,2965.5872,0.08221666178097184
64.0,18.857246,19.422182,2.1040993,55.098537,0.0,81.49594,1.8262211,2981.7766,0.0831970091981198
65.0,0.0,0.0,0.13871266,55.21626,0.0,85.42078,1.0693682,2980.115,0.0
66.0,3.2246292,0.0,0.0,55.5737,0.0,79.95619,0.5965529,2972.0154,0.014442279108199844
67.0,0.0,10.745067,0.0,55.19543,0.0,79.31162,0.644027,2991.016,0.0
68.0,0.0,0.9822637,1.009254,55.44366,0.0,79.10349,0.0080930805,3005.0017,0.0
69.0,0.0,3.645941,0.0,55.25367,0.0,79.013336,0.0,3001.8848,0.0
70.0,0.8485259,21.847466,0.0,55.428516,0.0,74.86366,0.47293907,2968.5312,0.003787393062020297
71.0,4.428497,0.0,0.0,55.037548,0.0,69.65686,0.0,2964.7502,0.019946236169633504
72.0,0.0,0.0,0.30204827,55.194565,0.0,71.02701,3.2178342,2975.8816,0.0
73.0,24.66415,4.929858,0.5910957,55.00124,0.0,71.040764,0.0998707,2999.0647,0.10894351077853492
74.0,23.641241,8.92604,0.0,55.089195,0.0,70.08651,0.0,2995.0076,0.10449314059824699
75.0,26.481327,0.89375424,0.0,55.15817,0.0,68.422165,0.14642647,3002.7312,0.11700600939479543
76.0,0.0,0.0,0.0,55.15809,0.0,65.56592,0.64415556,2979.1946,0.0
77.0,7.4111896,0.0,0.0,55.319424,0.0,64.11005,0.0,3010.638,0.032916546994321415
78.0,20.88976,22.493883,0.5267029,55.14462,0.0,64.88855,0.40374315,2990.2817,0.09229215320981021
79.0,0.0,0.0,0.0,55.065365,0.0,64.0964,1.1872822,3010.4907,0.0
80.0,0.0,5.614537,2.093975,55.315876,0.0,60.063366,0.48287535,2982.4165,0.0
81.0,0.0,0.63147354,0.0,55.22611,0.0,55.294254,0.41672814,3021.8704,0.0
82.0,3.281031,0.0,0.0,55.3732,0.0,60.362053,0.33836406,3003.09,0.014642751112287255
83.0,21.368134,0.0,0.8911484,55.261505,0.0,60.4846,0.0,3009.7476,0.09462285345254479
84.0,15.7090025,0.0,0.0,54.993675,0.0,59.619667,0.6235648,3004.1619,0.06982376373705496
85.0,16.492697,10.533531,0.0,55.2133,0.0,56.30584,1.8606416,2998.631,0.07321538412794097
86.0,0.0,0.0,0.0,54.95227,0.0,56.605663,0.0,3002.758,0.0
87.0,0.1237248,13.405637,3.99317,55.303143,0.0,51.106686,1.6939981,3010.3928,0.0005504761831055873
88.0,3.293072,1.589824,0.63970405,55.607864,0.0,51.229603,1.1551155,3030.8418,0.014597042218354925
89.0,5.3001556,0.0,0.98922056,55.328575,0.0,51.930206,0.0,3014.523,0.0236187272219764
90.0,0.0,15.210665,0.88248765,55.261986,0.0,53.98256,1.0083348,2994.5688,0.0
91.0,9.564206,14.295756,0.5642618,55.493374,0.0,52.04616,0.0,3043.295,0.04198112959512799
92.0,0.0,5.2473173,0.0,55.183876,0.0,50.283215,0.0,2996.8755,0.0
93.0,9.701306,8.05032,0.0,55.226982,0.0,43.6375,1.4009004,2985.1292,0.043564738212344356
94.0,15.325569,0.0,0.0,54.853825,0.0,47.555317,1.7210517,3009.5303,0.06825274279472508
95.0,12.5690775,3.8192317,0.0,55.17481,0.0,41.529316,0.0,2990.4033,0.056436408673812964
96.0,9.138382,5.4920425,2.0570004,55.139336,0.0,45.17943,0.8341018,3001.3286,0.04085300754150839
97.0,10.307459,2.3347375,0.0,54.97711,0.0,47.519394,0.4612151,3008.2947,0.04597930057044034
98.0,0.0,0.0,0.0,55.459797,0.0,44.749146,1.3019433,3026.618,0.0
99.0,4.512837,0.8647142,0.0,55.532253,0.0,39.042126,0.34391809,3010.4873,0.020215618080340166
100.0,22.588963,11.4773655,3.1462383,55.358818,0.0,41.179085,0.1755177,2999.8218,0.10054850422368705
101.0,3.0645723,7.0186224,0.0,54.986042,0.0,46.041687,0.0,3020.6929,0.013635857437542767
102.0,0.0,7.4999957,1.1780554,55.224346,0.0,38.720486,0.0,3042.805,0.0
103.0,9.576554,1.8643955,0.0,54.94112,0.0,37.50078,0.0,3022.1772,0.042689304018565875
104.0,0.3968487,0.0,0.0,55.74909,0.0,36.26671,0.0,3012.9214,0.0017808353573965075
105.0,0.0,2.3985972,0.0,55.128696,0.0,38.854122,1.4498323,3008.4216,0.0
106.0,0.0,0.8653023,0.0,55.29475,0.0,38.210117,0.0,3033.7468,0.0
107.0,0.0,0.0,0.0,55.36064,0.0,31.821873,0.0,3021.352,0.0
108.0,0.0,0.0,1.4193774,55.492622,0.0,31.732897,0.4573878,3022.4255,0.0
