day,S,I,Q,R,R_t
0.0,1104.1697998046875,0.8778090476989746,0.00885103177279234,0.0,1.880817811492256
1.0,1104.113002232143,0.9623379366738456,0.016230783558317592,0.0,1.8806613391853633
2.0,1104.0562046595983,1.0468668256487166,0.023610535343842845,0.0,1.8805048668784707
3.0,1103.9994070870537,1.1313957146235873,0.0309902871293681,0.0,1.880348394571578
4.0,1103.9426095145088,1.2159246035984586,0.03837003891489335,0.0,1.8801919222646855
5.0,1103.8858119419642,1.3004534925733293,0.04574979070041861,0.0,1.8800354499577927
6.0,1103.8290143694196,1.3849823815482003,0.05312954248594386,0.0,1.8798789776509002
7.0,1103.772216796875,1.4695112705230713,0.060509294271469116,0.0,1.8797225053440074
8.0,1103.5441371372767,1.5116048880985804,0.06867310936961855,0.0,1.879636400844563
9.0,1103.3160574776787,1.5536985056740897,0.07683692446776799,0.0,1.8795502963451185
10.0,1103.0879778180804,1.5957921232495988,0.08500073956591742,0.0,1.879464191845674
11.0,1102.859898158482,1.6378857408251082,0.09316455466406687,0.0,1.8793780873462294
12.0,1102.6318184988838,1.6799793584006173,0.10132836976221629,0.0,1.879291982846785
13.0,1102.4037388392858,1.7220729759761264,0.10949218486036573,0.0,1.8792058783473404
14.0,1102.1756591796875,1.7641665935516357,0.11765599995851517,0.0,1.879119773847896
15.0,1102.3743722098213,1.7855944974081857,0.12068609467574529,0.3081528459276472,1.8785561421651484
16.0,1102.5730852399554,1.8070224012647356,0.12371618939297539,0.6163056918552944,1.877992510482401
17.0,1102.7717982700892,1.8284503051212855,0.12674628411020553,0.9244585377829415,1.8774288787996534
18.0,1102.9705113002233,1.8498782089778356,0.12977637882743562,1.2326113837105888,1.876865247116906
19.0,1103.169224330357,1.8713061128343855,0.13280647354466574,1.540764229638236,1.8763016154341585
20.0,1103.3679373604912,1.8927340166909354,0.13583656826189586,1.848917075565883,1.875737983751411
21.0,1103.566650390625,1.9141619205474854,0.13886666297912598,2.1570699214935303,1.8751743520686635
22.0,1103.5105678013392,1.9587163584572929,0.1393442153930664,1.870924404689244,1.8755828988526415
23.0,1103.4544852120537,2.0032707963671004,0.13982176780700684,1.5847788878849576,1.8759914456366196
24.0,1103.398402622768,2.0478252342769077,0.14029932022094727,1.298633371080671,1.8763999924205976
25.0,1103.342320033482,2.0923796721867154,0.1407768726348877,1.0124878542763847,1.876808539204576
26.0,1103.2862374441963,2.1369341100965227,0.14125442504882812,0.7263423374720983,1.877217085988554
27.0,1103.2301548549108,2.18148854800633,0.14173197746276855,0.44019682066781174,1.877625632772532
28.0,1103.174072265625,2.2260429859161377,0.14220952987670898,0.1540513038635254,1.87803417955651
29.0,1102.8585728236608,2.311024154935564,0.1592360351766859,0.258210437638419,1.8776825349434716
30.0,1102.5430733816963,2.396005323954991,0.1762625404766628,0.3623695714133126,1.8773308903304333
31.0,1102.227573939732,2.4809864929744174,0.19328904577663966,0.46652870518820627,1.8769792457173948
32.0,1101.912074497768,2.5659676619938443,0.21031555107661656,0.5706878389630998,1.8766276011043563
33.0,1101.5965750558037,2.6509488310132707,0.22734205637659347,0.6748469727379935,1.8762759564913178
34.0,1101.2810756138392,2.735930000032697,0.24436856167657034,0.7790061065128872,1.8759243118782796
35.0,1100.965576171875,2.820911169052124,0.26139506697654724,0.8831652402877808,1.875572667265241
36.0,1101.0106375558037,2.8911865098135814,0.2694484846932547,1.4464149815695626,1.874488606702678
37.0,1101.055698939732,2.9614618505750383,0.27750190240996225,2.0096647228513445,1.8734045461401148
38.0,1101.1007603236608,3.0317371913364957,0.28555532012666973,2.5729144641331265,1.8723204855775517
39.0,1101.1458217075892,3.1020125320979526,0.29360873784337727,3.136164205414908,1.8712364250149887
40.0,1101.190883091518,3.17228787285941,0.30166215556008474,3.6994139466966898,1.8701523644524256
41.0,1101.2359444754463,3.242563213620867,0.3097155732767923,4.262663687978472,1.8690683038898623
42.0,1101.281005859375,3.312838554382324,0.31776899099349976,4.825913429260254,1.8679842433272993
43.0,1100.9505092075892,3.4004407610212053,0.33104681968688965,4.588185582842145,1.868210991300319
44.0,1100.6200125558037,3.4880429676600864,0.34432464838027954,4.350457736424038,1.8684377392733391
45.0,1100.289515904018,3.575645174298968,0.35760247707366943,4.112729890005929,1.868664487246359
46.0,1099.959019252232,3.663247380937849,0.3708803057670593,3.8750020435878207,1.8688912352193787
47.0,1099.6285226004463,3.75084958757673,0.3841581344604492,3.6372741971697127,1.8691179831923985
48.0,1099.2980259486608,3.838451794215611,0.3974359631538391,3.3995463507516046,1.8693447311654185
49.0,1098.967529296875,3.926054000854492,0.410713791847229,3.161818504333496,1.8695714791384384
50.0,1098.703857421875,4.041813373565674,0.41950797183173044,3.463891097477504,1.8688483239110159
51.0,1098.440185546875,4.1575727462768555,0.4283021518162319,3.765963690621512,1.8681251686835936
52.0,1098.176513671875,4.273332118988037,0.43709633180073326,4.068036283765521,1.867402013456171
53.0,1097.912841796875,4.389091491699219,0.4458905117852347,4.370108876909528,1.8666788582287486
54.0,1097.649169921875,4.5048508644104,0.45468469176973614,4.672181470053537,1.865955703001326
55.0,1097.385498046875,4.620610237121582,0.4634788717542376,4.974254063197545,1.8652325477739038
56.0,1097.121826171875,4.736369609832764,0.472273051738739,5.276326656341553,1.8645093925464813
57.0,1096.909423828125,4.884073461805071,0.4909041438783918,5.379597731998989,1.8640522947156577
58.0,1096.697021484375,5.031777313777378,0.5095352360180446,5.482868807656424,1.863595196884834
59.0,1096.484619140625,5.179481165749686,0.5281663281576974,5.5861398833138605,1.8631380990540105
60.0,1096.272216796875,5.327185017721994,0.5467974202973502,5.689410958971296,1.8626810012231867
61.0,1096.059814453125,5.474888869694301,0.565428512437003,5.792682034628732,1.862223903392363
62.0,1095.847412109375,5.622592721666608,0.5840596045766558,5.895953110286168,1.8617668055615395
63.0,1095.635009765625,5.770296573638916,0.6026906967163086,5.9992241859436035,1.861309707730716
64.0,1095.3494349888392,5.926968847002302,0.6196670191628593,6.162346022469657,1.860738744132642
65.0,1095.0638602120537,6.083641120365688,0.6366433416094098,6.32546785899571,1.860167780534568
66.0,1094.778285435268,6.240313393729074,0.6536196640559605,6.488589695521764,1.859596816936494
67.0,1094.492710658482,6.396985667092459,0.6705959865025112,6.651711532047817,1.85902585333842
68.0,1094.2071358816963,6.553657940455845,0.6875723089490619,6.81483336857387,1.8584548897403461
