day,S,I,D,H,C,Q,E,R,R_t
0.0,3960.3360748291016,6.319265853613615,17.456928931176662,0.08127398788928986,0.011349078267812729,0.0,15.995164945721626,2.0067386627197266,8.242945084467719
1.0,3954.1868694850377,6.644517273775169,15.20144692701953,0.6417192944458553,0.05124662742517623,0.0,16.531974388020377,2.1699562753949846,8.23014628128372
2.0,3948.0376641409734,6.9697686939367225,12.945964922862393,1.2021646010024207,0.09114417658253973,0.0,17.068783830319134,2.3331738880702426,8.21734747809972
3.0,3941.8884587969096,7.295020114098277,10.690482918705259,1.7626099075589863,0.13104172573990322,0.0,17.605593272617885,2.496391500745501,8.20454867491572
4.0,3935.7392534528462,7.62027153425983,8.435000914548123,2.3230552141155516,0.1709392748972667,0.0,18.14240271491664,2.6596091134207587,8.191749871731723
5.0,3929.5900481087824,7.945522954421384,6.17951891039099,2.883500520672117,0.21083682405463022,0.0,18.67921215721539,2.822826726096017,8.178951068547724
6.0,3923.440842764718,8.270774374582938,3.924036906233854,3.4439458272286827,0.2507343732119937,0.0,19.216021599514146,2.986044338771275,8.166152265363724
7.0,3917.2916374206543,8.596025794744492,1.6685549020767212,4.004391133785248,0.2906319223693572,0.0,19.752831041812897,3.149261951446533,8.153353462179725
8.0,3914.6525140489853,10.254214448588234,1.437999828336095,4.447472696325608,0.3776594844280875,0.0,25.661535825048173,3.8939038302217215,8.147860456381034
9.0,3912.013390677316,11.912403102431979,1.2074447545954692,4.89055425886597,0.4646870464868178,0.0,31.570240608283452,4.63854570899691,8.142367450582345
10.0,3909.3742673056468,13.570591756275723,0.9768896808548432,5.33363582140633,0.5517146085455483,0.0,37.47894539151873,5.383187587772096,8.136874444783654
11.0,3906.7351439339773,15.228780410119464,0.7463346071142171,5.776717383946691,0.6387421706042784,0.0,43.38765017475401,6.127829466547285,8.131381438984965
12.0,3904.0960205623082,16.88696906396321,0.5157795333735911,6.219798946487051,0.7257697326630087,0.0,49.29635495798929,6.872471345322472,8.125888433186274
13.0,3901.4568971906388,18.54515771780695,0.28522445963296517,6.662880509027413,0.8127972947217391,0.0,55.20505974122456,7.617113224097661,8.120395427387585
14.0,3898.8177738189697,20.203346371650696,0.05466938589233905,7.105962071567774,0.8998248567804694,0.0,61.11376452445984,8.361755102872849,8.114902421588894
15.0,3879.978274481637,24.70703092643193,1.1025527088703322,6.490215704909392,0.8791419940867594,0.0,70.04703548976353,7.764509902468749,8.075690355864602
16.0,3861.1387751443044,29.21071548121316,2.1504360318483253,5.8744693382510125,0.8584591313930495,0.0,78.98030645506724,7.16726470206465,8.036478290140307
17.0,3842.2992758069718,33.714400035994394,3.1983193548263182,5.258722971592631,0.8377762686993394,0.0,87.91357742037093,6.570019501660551,7.997266224416014
18.0,3823.4597764696396,38.218084590775625,4.246202677804312,4.642976604934249,0.8170934060056295,0.0,96.8468483856746,5.972774301256453,7.958054158691721
19.0,3804.620277132307,42.721769145556856,5.294086000782304,4.027230238275869,0.7964105433119195,0.0,105.7801193509783,5.375529100852353,7.918842092967427
20.0,3785.7807777949743,47.225453700338086,6.341969323760297,3.411483871617487,0.7757276806182095,0.0,114.713390316282,4.778283900448254,7.8796300272431345
21.0,3766.9412784576416,51.729138255119324,7.389852646738291,2.7957375049591064,0.7550448179244995,0.0,123.6466612815857,4.181038700044155,7.840417961518841
22.0,3739.394646780832,58.825600487845286,6.425626065049852,4.397598317691258,0.9902992583811283,0.0,139.20565005711148,7.729145443865232,7.783083086931515
23.0,3711.848015104021,65.92206272057125,5.461399483361415,5.99945913042341,1.225553698837757,0.0,154.76463883263725,11.277252187686308,7.725748212344189
24.0,3684.301383427211,73.0185249532972,4.497172901672977,7.601319943155561,1.460808139294386,0.0,170.32362760816298,14.825358931507383,7.668413337756863
25.0,3656.7547517504013,80.11498718602317,3.5329463199845383,9.203180755887713,1.6960625797510147,0.0,185.88261638368883,18.373465675328458,7.611078463169537
26.0,3629.208120073591,87.21144941874911,2.5687197382961005,10.805041568619865,1.9313170202076435,0.0,201.44160515921456,21.921572419149534,7.553743588582211
27.0,3601.6614883967804,94.30791165147508,1.604493156607663,12.406902381352015,2.1665714606642723,0.0,217.00059393474032,25.46967916297061,7.496408713994885
28.0,3574.1148567199707,101.40437388420105,0.6402665749192238,14.008763194084167,2.401825901120901,0.0,232.5595827102661,29.017785906791687,7.439073839407559
29.0,3526.8582307270594,115.39810276031494,5.546618212546622,17.9500971862248,2.5670862165944914,0.0,260.5820139476231,34.467753240040366,7.340715072480541
30.0,3479.601604734148,129.39183163642883,10.45296985017402,21.891431178365433,2.732346532068082,0.0,288.60444518498014,39.91772057328906,7.242356305553523
31.0,3432.3449787412364,143.38556051254275,15.359321487801418,25.83276517050607,2.897606847541673,0.0,316.62687642233715,45.36768790653773,7.143997538626505
32.0,3385.0883527483265,157.3792893886566,20.265673125428815,29.7740991626467,3.0628671630152633,0.0,344.6493076596941,50.817655239786426,7.045638771699488
33.0,3337.831726755415,171.37301826477048,25.17202476305621,33.71543315478734,3.228127478488854,0.0,372.6717388970511,56.267622573035105,6.94728000477247
34.0,3290.5751007625036,185.3667471408844,30.078376400683613,37.65676714692797,3.393387793962445,0.0,400.6941701344081,61.71758990628379,6.848921237845452
35.0,3243.3184747695923,199.3604760169983,34.984728038311005,41.5981011390686,3.558648109436035,0.0,428.71660137176514,67.16755723953247,6.7505624709184335
36.0,3157.0353500843044,222.3351354598999,33.163309284618926,47.16524566922869,3.980857766100338,0.0,470.246869632176,77.42863975252423,6.570974919493825
