day,S,I,R,E,H,C,Q,P,V,R_t
0.0,3558.224609375,3.509061336517334,1.0713945627212524,18.395570755004883,0.0,0.0,0.20891942083835602,0.0,0.09329266101121902,8.874169607950073
1.0,3553.0364118303573,4.645056997026716,1.2646980285644531,19.04460906982422,0.0,0.0,0.17907378929001944,0.0,3.361959003976413,8.861159283803863
2.0,3547.848214285714,5.781052657536097,1.4580014944076538,19.693647384643555,0.0,0.0,0.14922815774168285,0.0,6.630625346941607,8.848148959657653
3.0,3542.6600167410716,6.91704831804548,1.6513049602508545,20.34268569946289,0.0,0.0,0.1193825261933463,0.0,9.899291689906802,8.835138635511443
4.0,3537.4718191964284,8.05304397855486,1.8446084260940552,20.991724014282227,0.0,0.0,0.08953689464500972,0.0,13.167958032871995,8.822128311365232
5.0,3532.283621651786,9.189039639064244,2.037911891937256,21.640762329101562,0.0,0.0,0.059691263096673136,0.0,16.43662437583719,8.809117987219022
6.0,3527.0954241071427,10.325035299573626,2.2312153577804565,22.2898006439209,0.0,0.0,0.029845631548336582,0.0,19.705290718802384,8.796107663072812
7.0,3521.9072265625,11.461030960083008,2.4245188236236572,22.938838958740234,0.0,0.0,0.0,0.0,22.973957061767578,8.783097338926602
8.0,3513.9842354910716,12.916611535208565,2.848770890917097,25.090112958635604,0.0,0.0,0.15740445681980678,0.0,26.17289243425642,8.764632554403695
9.0,3506.0612444196427,14.372192110334124,3.2730229582105363,27.24138695853097,0.0,0.0,0.31480891363961355,0.0,29.37182780674526,8.746167769880788
10.0,3498.138253348214,15.827772685459681,3.697275025503976,29.39266095842634,0.0,0.0,0.47221337045942036,0.0,32.57076317923409,8.727702985357881
11.0,3490.215262276786,17.28335326058524,4.1215270927974155,31.543934958321707,0.0,0.0,0.6296178272792271,0.0,35.76969855172294,8.709238200834974
12.0,3482.2922712053573,18.738933835710796,4.545779160090856,33.69520895821708,0.0,0.0,0.7870222840990339,0.0,38.96863392421177,8.690773416312068
13.0,3474.3692801339284,20.194514410836355,4.970031227384295,35.846482958112446,0.0,0.0,0.9444267409188407,0.0,42.16756929670061,8.67230863178916
14.0,3466.4462890625,21.650094985961914,5.394283294677734,37.99775695800781,0.0,0.0,1.1018311977386475,0.0,45.36650466918945,8.653843847266254
15.0,3455.2792619977677,24.246625082833425,6.7842705590384345,42.210889543805806,0.0,0.0,1.2431297302246094,0.0,48.503412519182476,8.625231423773009
16.0,3444.112234933036,26.843155179704937,8.174257823399135,46.4240221296038,0.0,0.0,1.3844282627105713,0.0,51.640320369175505,8.596619000279766
17.0,3432.9452078683034,29.43968527657645,9.564245087759836,50.637154715401785,0.0,0.0,1.5257267951965332,0.0,54.77722821916853,8.568006576786521
18.0,3421.7781808035716,32.03621537344796,10.954232352120535,54.85028730119978,0.0,0.0,1.6670253276824951,0.0,57.91413606916155,8.539394153293276
19.0,3410.611153738839,34.63274547031948,12.344219616481237,59.06341988699777,0.0,0.0,1.808323860168457,0.0,61.05104391915458,8.510781729800032
20.0,3399.4441266741073,37.22927556719099,13.734206880841937,63.27655247279576,0.0,0.0,1.949622392654419,0.0,64.1879517691476,8.482169306306789
21.0,3388.277099609375,39.8258056640625,15.124194145202637,67.48968505859375,0.0,0.0,2.090920925140381,0.0,67.32485961914062,8.453556882813544
22.0,3372.307373046875,44.23807307652065,17.29360444205148,75.25745064871651,0.08712257657732282,0.0,2.323333263397217,0.0,70.363283429827,8.40975906646752
23.0,3356.337646484375,48.6503404889788,19.46301473890032,83.02521623883929,0.17424515315464564,0.0,2.5557456016540527,0.0,73.40170724051339,8.365961250121495
24.0,3340.367919921875,53.06260790143694,21.632425035749165,90.79298182896206,0.2613677297319685,0.0,2.7881579399108887,0.0,76.44013105119978,8.322163433775472
25.0,3324.398193359375,57.47487531389509,23.801835332598003,98.56074741908482,0.3484903063092913,0.0,3.0205702781677246,0.0,79.47855486188617,8.278365617429449
26.0,3308.428466796875,61.88714272635324,25.971245629446848,106.3285130092076,0.4356128828866141,0.0,3.2529826164245605,0.0,82.51697867257255,8.234567801083426
27.0,3292.458740234375,66.29941013881138,28.14065592629569,114.09627859933036,0.522735459463937,0.0,3.4853949546813965,0.0,85.55540248325893,8.1907699847374
28.0,3276.489013671875,70.71167755126953,30.31006622314453,121.86404418945312,0.6098580360412598,0.0,3.7178072929382324,0.0,88.59382629394531,8.146972168391377
29.0,3248.190499441964,77.73691667829242,33.26017706734793,134.15687997000558,1.1065316200256348,0.0,4.152613503592355,0.0,91.58182961600167,8.081124407824237
30.0,3219.8919852120534,84.76215580531529,36.21028791155134,146.44971575055803,1.6032052040100098,0.0,4.587419714246478,0.0,94.56983293805804,8.015276647257096
31.0,3191.5934709821427,91.78739493233817,39.16039875575474,158.7425515311105,2.0998787879943848,0.0,5.022225924900599,0.0,97.5578362601144,7.949428886689956
32.0,3163.2949567522323,98.81263405936105,42.11050959995815,171.03538731166293,2.5965523719787598,0.0,5.457032135554723,0.0,100.54583958217076,7.883581126122817
33.0,3134.9964425223216,105.83787318638393,45.06062044416155,183.3282230922154,3.0932259559631348,0.0,5.891838346208845,0.0,103.53384290422711,7.817733365555676
34.0,3106.697928292411,112.86311231340682,48.01073128836495,195.62105887276786,3.5898995399475098,0.0,6.326644556862967,0.0,106.52184622628349,7.751885604988535
35.0,3078.3994140625,119.88835144042969,50.96084213256836,207.9138946533203,4.086573123931885,0.0,6.76145076751709,0.0,109.50984954833984,7.686037844421396
