day,S,I,R,H,W,P,A,Q,R_t
0.0,1342.3004150390625,1.3452118635177612,0.0,0.0,0.0001620927214389667,0.0,1.3439221382141113,0.0,5.0538528324157825
1.0,1342.3000313895088,1.2938853757722037,0.08344296898160662,1.1619618557493335e-06,0.008498709436805387,0.0,1.3100884301321847,0.0009355161205998489,5.053855762489176
2.0,1342.2996477399554,1.2425588880266463,0.16688593796321324,2.323923711498667e-06,0.016835326152171808,0.0,1.276254722050258,0.0018710322411996977,5.05385869256257
3.0,1342.2992640904017,1.1912324002810886,0.25032890694481985,3.4858855672480004e-06,0.025171942867538228,0.0,1.2424210139683316,0.0028065483617995468,5.053861622635964
4.0,1342.2988804408483,1.139905912535531,0.3337718759264265,4.647847422997334e-06,0.03350855958290465,0.0,1.208587305886405,0.0037420644823993954,5.053864552709357
5.0,1342.2984967912946,1.0885794247899736,0.4172148449080331,5.809809278746667e-06,0.04184517629827107,0.0,1.1747535978044783,0.004677580602999244,5.053867482782751
6.0,1342.2981131417412,1.0372529370444161,0.5006578138896397,6.971771134496001e-06,0.05018179301363749,0.0,1.1409198897225517,0.0056130967235990935,5.053870412856145
7.0,1342.2977294921875,0.9859264492988586,0.5841007828712463,8.133732990245335e-06,0.058518409729003906,0.0,1.107086181640625,0.006548612844198942,5.053873342929538
8.0,1342.2987060546875,0.9481701169695173,0.6485860177448818,8.846671594905534e-06,0.06268661575657981,0.0,1.07915883404868,0.007130401208996773,5.053875664718713
9.0,1342.2996826171875,0.910413784640176,0.7130712526185172,9.559610199565733e-06,0.06685482178415571,0.0,1.0512314864567347,0.007712189573794603,5.053877986507887
10.0,1342.3006591796875,0.8726574523108346,0.7775564874921526,1.0272548804225933e-05,0.07102302781173161,0.0,1.0233041388647897,0.008293977938592434,5.053880308297061
11.0,1342.3016357421875,0.8349011199814933,0.8420417223657881,1.098548740888613e-05,0.07519123383930751,0.0,0.9953767912728446,0.008875766303390265,5.0538826300862345
12.0,1342.3026123046875,0.7971447876521519,0.9065269572394234,1.1698426013546331e-05,0.07935943986688342,0.0,0.9674494436808995,0.009457554668188095,5.053884951875409
13.0,1342.3035888671875,0.7593884553228105,0.9710121921130589,1.241136461820653e-05,0.08352764589445932,0.0,0.9395220960889543,0.010039343032985926,5.053887273664583
14.0,1342.3045654296875,0.7216321229934692,1.0354974269866943,1.3124303222866729e-05,0.08769585192203522,0.0,0.9115947484970093,0.010621131397783756,5.053889595453757
15.0,1342.304931640625,0.6941811868122646,1.0847150938851493,1.3521827505818302e-05,0.08932931508336749,0.0,0.8886065908840725,0.010959956395838941,5.053892913166146
16.0,1342.3052978515625,0.66673025063106,1.1339327607836043,1.3919351788769876e-05,0.09096277824469975,0.0,0.8656184332711356,0.011298781393894128,5.053896230878534
17.0,1342.3056640625,0.6392793144498552,1.183150427682059,1.4316876071721449e-05,0.09259624140603202,0.0,0.8426302756581987,0.011637606391949313,5.053899548590922
18.0,1342.3060302734375,0.6118283782686506,1.232368094580514,1.4714400354673021e-05,0.09422970456736428,0.0,0.8196421180452619,0.011976431390004498,5.05390286630331
19.0,1342.306396484375,0.5843774420874459,1.281585761478969,1.5111924637624596e-05,0.09586316772869655,0.0,0.7966539604323251,0.012315256388059683,5.053906184015698
20.0,1342.3067626953125,0.5569265059062413,1.330803428377424,1.550944892057617e-05,0.09749663089002882,0.0,0.7736658028193882,0.01265408138611487,5.053909501728087
21.0,1342.30712890625,0.5294755697250366,1.380021095275879,1.590697320352774e-05,0.09913009405136108,0.0,0.7506776452064514,0.012992906384170055,5.053912819440475
22.0,1342.3102329799108,0.5093341086591993,1.4179587193897791,1.608823705672486e-05,0.09913549678666252,0.0,0.7317267741475787,0.013161978019135339,5.053916545584833
23.0,1342.3133370535713,0.489192647593362,1.4558963435036796,1.626950090992198e-05,0.09914089952196393,0.0,0.7127759030887059,0.013331049654100622,5.053920271729192
24.0,1342.316441127232,0.4690511865275247,1.4938339676175798,1.6450764763119097e-05,0.09914630225726537,0.0,0.6938250320298331,0.013500121289065905,5.05392399787355
25.0,1342.319545200893,0.4489097254616874,1.5317715917314803,1.663202861631622e-05,0.09915170499256679,0.0,0.6748741609709603,0.01366919292403119,5.053927724017908
26.0,1342.3226492745537,0.42876826439585003,1.5697092158453805,1.6813292469513336e-05,0.09915710772786822,0.0,0.6559232899120876,0.013838264558996474,5.053931450162266
27.0,1342.3257533482142,0.4086268033300127,1.607646839959281,1.6994556322710457e-05,0.09916251046316964,0.0,0.6369724188532148,0.014007336193961757,5.0539351763066245
28.0,1342.328857421875,0.3884853422641754,1.6455844640731812,1.7175820175907575e-05,0.09916791319847107,0.0,0.618021547794342,0.01417640782892704,5.053938902450983
29.0,1342.3304268973213,0.373547443321773,1.6742702722549438,1.722939539052147e-05,0.0983704828790256,0.0,0.6024954063551766,0.014227145085377353,5.053945405185116
30.0,1342.331996372768,0.35860954437937054,1.7029560804367065,1.7282970605135362e-05,0.09757305255958013,0.0,0.5869692649160113,0.014277882341827666,5.053951907919249
31.0,1342.3335658482142,0.34367164543696815,1.7316418886184692,1.7336545819749256e-05,0.09677562224013465,0.0,0.5714431234768459,0.014328619598277978,5.053958410653382
32.0,1342.3351353236608,0.3287337464945657,1.760327696800232,1.7390121034363153e-05,0.09597819192068917,0.0,0.5559169820376805,0.01437935685472829,5.0539649133875155
33.0,1342.336704799107,0.3137958475521633,1.7890135049819946,1.7443696248977047e-05,0.0951807616012437,0.0,0.540390840598515,0.014430094111178602,5.053971416121649
34.0,1342.3382742745537,0.29885794860976084,1.8176993131637573,1.749727146359094e-05,0.09438333128179822,0.0,0.5248646991593497,0.014480831367628915,5.053977918855781
35.0,1342.33984375,0.2839200496673584,1.84638512134552,1.7550846678204834e-05,0.09358590096235275,0.0,0.5093385577201843,0.014531568624079227,5.053984421589915
36.0,1342.3399832589287,0.27324419149330686,1.8664864131382533,1.7485920969712815e-05,0.09230806252786092,0.0,0.4964213115828378,0.014513322551335608,5.053997612588879
37.0,1342.340122767857,0.2625683333192553,1.8865877049309867,1.7420995261220795e-05,0.09103022409336907,0.0,0.48350406544549124,0.014495076478591986,5.054010803587844
38.0,1342.3402622767858,0.25189247514520374,1.90668899672372,1.7356069552728775e-05,0.08975238565887723,0.0,0.4705868193081447,0.014476830405848367,5.054023994586808
39.0,1342.3404017857142,0.24121661697115215,1.9267902885164534,1.729114384423675e-05,0.0884745472243854,0.0,0.45766957317079815,0.014458584333104747,5.054037185585773
40.0,1342.340541294643,0.23054075879710062,1.9468915803091866,1.722621813574473e-05,0.08719670878989356,0.0,0.44475232703345163,0.014440338260361127,5.054050376584737
41.0,1342.3406808035713,0.21986490062304906,1.9669928721019199,1.716129242725271e-05,0.08591887035540172,0.0,0.4318350808961051,0.014422092187617506,5.054063567583702
42.0,1342.3408203125,0.2091890424489975,1.9870941638946533,1.709636671876069e-05,0.08464103192090988,0.0,0.41891783475875854,0.014403846114873886,5.054076758582666
43.0,1342.344761439732,0.2010765245982579,2.004563706261771,1.699248059594538e-05,0.08315819076129369,0.0,0.4084438128130777,0.014329805171915464,5.05408126355764
44.0,1342.3487025669642,0.19296400674751826,2.022033248628889,1.688859447313007e-05,0.08167534960167748,0.0,0.39796979086739676,0.01425576422895704,5.054085768532613
