week,S,I,P,D,E,R,Q,W,H,A,R_t
214.0,145.58348,1.259894,0.0,0.0,0.34694076,1919.6046,0.014407361,0.122072205,482.34064,0.0045941784,1.0401356257662968
215.0,157.49455,1.1800706,0.0,0.0,0.61763453,1919.1874,0.0025576255,0.0,482.99744,0.0020618886,1.125235516810633
216.0,150.18198,0.0,0.0,0.0,0.052264385,1920.1238,0.011440159,0.1162128,482.7697,0.0020952087,1.0729901429568203
217.0,153.11308,0.08984226,0.0,0.0,0.0,1921.6569,0.008502652,0.0,481.58435,0.0012784227,1.0939316979893707
218.0,145.4019,0.33601347,0.0,0.0,0.18220557,1914.4479,0.0015440771,0.20651685,481.5462,0.0004983753,1.0388383395881426
219.0,151.55994,1.0775313,0.0,0.0,0.21183875,1916.3656,0.0049892254,0.111172825,482.3559,0.0,1.0828350076235724
220.0,156.37556,0.0,0.0,0.0,1.7618971,1921.1863,0.008552533,0.2044444,481.64093,0.0040355693,1.1172407410185488
221.0,157.23898,0.0,0.0,0.0,1.2817774,1917.0541,0.0,0.26115757,482.03314,0.0014728354,1.1234096026631621
222.0,158.11739,1.416093,0.0,0.0,0.019285113,1913.0818,0.007380654,0.14051753,481.6549,0.0021708473,1.1296853563935467
223.0,157.7568,0.32840225,0.0,0.0,0.11140285,1916.6294,0.015620159,0.16401103,483.24783,0.000116709445,1.127109208068342
224.0,153.54175,1.8413732,0.0,0.0,0.057895593,1916.661,0.0060852044,0.042372424,481.43106,0.0,1.0969942570883642
225.0,157.04153,0.0,0.0,0.0,1.434907,1911.3228,0.0062348256,0.2129421,480.92288,0.00076591695,1.121998828814136
226.0,154.84866,0.23885147,0.0,0.0,1.12256,1915.8401,0.001333388,0.007991594,482.6725,0.0018804091,1.1063316432652912
227.0,166.71176,0.5180812,0.0,0.0,0.0,1917.8966,0.015869962,0.0,482.51752,0.0042541604,1.1910887819203637
228.0,160.25275,0.0,0.0,0.0,0.75404286,1919.942,0.011832682,0.12354217,479.68762,0.0035562168,1.1449416533434338
229.0,164.9275,1.5345612,0.0,0.0,1.6570576,1913.6818,0.003177733,0.1957367,483.2973,0.0085750045,1.1783409876666964
230.0,163.47903,0.4411705,0.0,0.0,0.8444981,1913.338,0.0062795132,0.116830066,481.92953,0.0037331446,1.1679922693564737
231.0,163.29099,0.47806147,0.0,0.0,0.0,1916.7461,0.010907981,0.15432425,481.84128,0.0,1.166648677810209
232.0,157.42978,0.37516245,0.0,0.0,0.0,1915.1947,0.020128733,0.10415566,480.45956,0.0011550253,1.1247726811653989
233.0,163.3542,0.0,0.0,0.0,0.8602054,1920.6617,0.00068674114,0.06513065,480.52582,0.0042576334,1.167100311862567
234.0,163.83083,1.0169619,0.0,0.0,0.0,1917.1698,0.0040359497,0.12347044,482.25784,0.006533726,1.1705055960963369
235.0,160.98114,0.09129147,0.0,0.0,1.4197737,1916.2986,0.000735679,0.018404104,480.7231,0.005120238,1.1501457607676984
236.0,164.0962,0.0,0.0,0.0,0.49601778,1912.0867,0.0023222682,0.04513837,479.95395,0.0066714752,1.1724016360308276
237.0,166.76541,0.15421273,0.0,0.0,0.88047516,1909.5216,0.0036374743,0.12038453,481.2405,0.0048164213,1.1914720344726697
238.0,170.52316,0.46754497,0.0,0.0,1.219021,1909.9672,0.030715823,0.05210724,482.60718,0.0016887116,1.2183196361617883
239.0,165.13191,0.9771122,0.0,0.0,0.5594866,1912.8452,0.0073597715,0.101697244,481.0848,0.0054025706,1.1798013101674127
240.0,167.81308,0.9501853,0.0,0.0,0.21273863,1909.0114,0.011510309,0.21500313,480.3829,0.001346808,1.1989572604341512
241.0,168.40521,1.7698901,0.0,0.0,1.7041917,1914.2789,0.021761576,0.0,480.57074,0.001171197,1.2031877559308088
242.0,168.90334,0.03435153,0.0,0.0,0.072727166,1909.12,0.0012508471,0.009144015,481.73935,0.0042210114,1.2067466464357217
243.0,172.11522,0.26619008,0.0,0.0,0.60524255,1901.1301,0.03253584,0.09555063,480.6552,0.0006982925,1.229694295008667
244.0,172.54419,1.5161797,0.0,0.0,0.32189548,1913.5535,0.0095767155,0.03984788,482.24567,0.0032449374,1.2327590617208548
245.0,172.00816,1.3456895,0.0,0.0,0.59232706,1907.4885,0.016073214,0.006471336,480.26923,0.0,1.2289294524275727
246.0,174.44536,0.43890986,0.0,0.0,0.0,1910.8268,0.0073724748,0.20204179,480.96082,0.0008449034,1.246342205905411
247.0,172.36703,1.932097,0.0,0.0,1.9253267,1913.1161,0.014815413,0.054540806,481.1079,0.0018369891,1.231493445252967
248.0,173.76189,0.59800434,0.0,0.0,0.21618293,1911.721,0.013673361,0.30608824,480.3354,0.0024826836,1.2414591017922718
249.0,173.4281,0.10947216,0.0,0.0,1.2392102,1908.22,0.0037173936,0.060778894,479.57928,0.0026625867,1.239074361707348
250.0,171.92282,0.025291085,0.0,0.0,0.38224676,1909.4233,0.006692672,0.015562655,480.48856,0.0041251564,1.228319660605263
