week,S,I,A,W,Q,V,C,E,R,P,R_t
218.0,657.32153,0.02427204,0.0,0.0,9.45321e-05,2102.2876,0.0,0.033474423,2.3508966,0.0,2.9005333574182854
219.0,621.4438,0.0,0.0,0.0,0.0,2106.0063,0.0,0.07177295,2.7295194,0.0,2.774122892072413
220.0,561.81915,0.022914873,0.04798699,0.022617387,0.00029338777,2153.171,0.0,0.0,2.4440658,0.0,2.5197219977719323
221.0,593.2834,0.0,0.0,0.0138009135,0.0,2116.6387,0.0,0.0,2.539458,0.0,2.6657848187888615
222.0,623.6993,0.0,0.008727431,0.0036729565,0.0,2164.3306,0.0,0.0070085637,1.9508768,0.0,2.724570682762513
223.0,635.603,0.0,0.016021,0.004610967,0.0,2179.3809,0.0,0.009421217,2.4877095,0.0,2.7494699503810587
224.0,619.81775,0.031805746,0.0,0.0,0.0,2144.2932,0.0,0.0228386,2.6167002,0.0,2.7303323039355254
225.0,666.1425,0.009120081,0.0038049975,0.0,0.0,2157.9158,0.0,0.007295464,2.2611709,0.0,2.872561177174806
226.0,572.10376,0.0,0.036636535,0.0010397309,0.0,2204.9995,0.0,0.0,2.1134715,0.0,2.508841056349743
227.0,575.7656,0.0,0.0013120162,0.005190661,0.0,2114.4783,0.0,0.01178649,2.1727142,0.0,2.6063206633897846
228.0,658.53125,0.0,0.0,0.0,0.0005102145,2169.1104,0.0,0.00302236,2.21642,0.0,2.8362054588034273
229.0,651.9718,0.002943921,0.024335494,0.0008141986,0.000304333,2169.4692,0.0,0.053120196,2.3900704,0.0,2.8138709176803665
230.0,595.7689,0.0,0.027842434,0.0,0.0,2165.7603,0.0,0.015972791,2.2241569,0.0,2.6272304465189396
231.0,549.2481,0.0,0.0,0.0025357397,0.0,2209.06,0.0,0.0,2.1297174,0.0,2.4250297967985825
232.0,599.66754,0.019056894,0.0,0.0,0.00019168472,2138.5986,0.0,0.0,1.8582811,0.0,2.667249800714143
233.0,551.5226,0.002147094,0.02808905,0.004016617,0.0,2200.1934,0.0,0.080513075,2.122133,0.0,2.440809713938947
234.0,580.6995,0.019443616,0.0,0.0,0.0,2211.076,0.0,0.05147732,1.9153666,0.0,2.53331149244062
235.0,592.9827,0.012515922,0.06297015,0.008726747,0.00028578995,2179.7812,0.0,0.017414879,2.5387585,0.0,2.604015625078166
236.0,608.037,0.0,0.024173139,0.014609885,0.00027565163,2188.7048,0.0,0.0,2.0898373,0.0,2.6477435318015026
237.0,586.73676,0.0,0.0,0.0,0.00038314244,2165.271,0.0,0.0,1.9595275,0.0,2.5966352427406267
238.0,506.2635,0.0,0.023316316,0.006397666,7.247896e-05,2160.8025,0.0,0.0,2.0249465,0.0,2.3117236812726536
239.0,566.32806,0.0092380615,0.0,0.0,0.0002025776,2244.918,0.0,0.0,2.0585763,0.0,2.453445170974384
240.0,534.61426,0.0,0.0,0.0032646488,9.553842e-05,2244.355,0.0,0.009572015,2.1344764,0.0,2.342870752230892
241.0,481.50616,0.057277754,0.0,0.010649792,0.0,2229.5,0.0,0.031566024,2.0480995,0.0,2.1629956128913945
242.0,562.63025,0.0,0.0,0.0048974287,0.0,2239.9338,0.0,0.0,1.839314,0.0,2.445170126786037
243.0,515.7381,0.031370874,0.0,0.0,0.00013255412,2237.1516,0.0,0.03890579,1.9322491,0.0,2.281660727300109
244.0,525.13794,0.0,0.0,0.0,0.0,2216.2683,0.0,0.0,1.7913222,0.0,2.3331507299093643
245.0,502.03445,0.0,0.020340767,0.012315118,0.00014072705,2239.046,0.0,0.022827819,2.1023643,0.0,2.2304804433952725
246.0,523.3997,0.01908161,0.0335444,0.0,0.0,2208.839,0.0,0.02264547,2.1202056,0.0,2.332880428910287
247.0,546.5198,0.025859224,0.0073493975,0.010909363,0.0,2221.6655,0.0,0.005764421,1.7580438,0.0,2.404669377459631
248.0,470.85413,0.018331539,0.0,0.0069779605,0.0,2251.7224,0.0,0.018227959,1.8159076,0.0,2.106383158848808
249.0,494.2009,0.0,0.0,0.0,0.0,2220.8845,0.0,0.0,1.8151287,0.0,2.216951932506507
250.0,498.7067,0.008547967,0.0,0.0,0.000384184,2248.126,0.0,0.0,1.7819793,0.0,2.2113445697549143
