week,S,I,D,C,A,W,P,V,R_t
53.0,3335.1018,0.83093953,3.553531,0.0,4.1960444,0.2654205,0.0,872.828,7.505113124161902
54.0,3308.392,0.82231337,3.57189,0.0,4.1960444,0.2619952,0.0,890.62836,7.4608002045092965
55.0,3345.7676,0.76226956,3.5731337,0.0,4.1960444,0.26534808,0.0,849.8422,7.551320250454914
56.0,3271.8037,0.7768782,3.6162174,0.0,4.1960444,0.26115215,0.0,900.4224,7.425696954898488
57.0,3332.472,0.7798327,3.6240582,0.0,4.1960444,0.25852966,0.0,948.6616,7.371203434868425
58.0,3276.2441,0.74869853,3.641802,0.0,4.1960444,0.25868312,0.0,907.70215,7.415020338113216
59.0,3239.4822,0.738692,3.7166317,0.0,4.1960444,0.25661424,0.0,913.2749,7.386835923725331
60.0,3238.3,0.72123754,3.71589,0.0,4.1960444,0.25399992,0.0,963.81226,7.2975431628133745
61.0,3236.717,0.66472095,3.6687324,0.0,4.1960444,0.25365046,0.0,945.51465,7.328706611136593
62.0,3226.824,0.672267,3.7565777,0.0,4.1960444,0.25262165,0.0,955.86884,7.305488614278526
63.0,3193.0867,0.6396324,3.7721841,0.0,4.1960444,0.2506167,0.0,967.1381,7.268161151871805
64.0,3200.1577,0.61313623,3.7509325,0.0,4.1960444,0.2505049,0.0,985.14526,7.240705544527896
65.0,3171.6296,0.61752594,3.829435,0.0,4.1960444,0.25021642,0.0,1005.9297,7.189436768558021
66.0,3152.261,0.6090384,3.8369706,0.0,4.1960444,0.24579792,0.0,1022.84845,7.149734566482016
67.0,3146.1177,0.553539,3.8308327,0.0,4.1960444,0.24461983,0.0,1008.22504,7.171525664541084
68.0,3114.435,0.56892043,3.8218699,0.0,4.1960444,0.24633145,0.0,1047.2056,7.086844222784346
69.0,3109.9856,0.52377856,3.871904,0.0,4.1960444,0.24406226,0.0,1064.8235,7.054499332737302
70.0,3143.788,0.5566322,3.8982341,0.0,4.1960444,0.24135613,0.0,1101.0471,7.01360981223819
71.0,3119.391,0.5084501,3.9511025,0.0,4.1960444,0.24117476,0.0,1129.9626,6.951868525532915
72.0,3109.0107,0.48122606,3.8787837,0.0,4.1960444,0.24063215,0.0,1121.8652,6.959006290427679
73.0,3078.5493,0.46729678,3.9497728,0.0,4.1960444,0.23989597,0.0,1130.2421,6.926964085570606
74.0,3044.1475,0.47862843,3.9870865,0.0,4.1960444,0.23745796,0.0,1126.991,6.911300654648069
75.0,3047.2703,0.39117587,3.9479592,0.0,4.1960444,0.23809949,0.0,1142.368,6.8880191670282365
76.0,3041.876,0.4591584,4.00802,0.0,4.1960444,0.23720337,0.0,1173.3983,6.833944702101922
77.0,2973.4644,0.43544203,3.9981472,0.0,4.1960444,0.23551323,0.0,1197.4274,6.751293474693602
78.0,3011.4443,0.41450757,4.0795474,0.0,4.1960444,0.23312078,0.0,1221.9501,6.736720534691917
79.0,2960.3938,0.41591275,4.0090475,0.0,4.1960444,0.23489326,0.0,1189.7151,6.755271203163397
80.0,3000.5295,0.40961275,4.04115,0.0,4.1960444,0.2342326,0.0,1246.2897,6.691115864950767
81.0,2949.8271,0.38207102,4.068678,0.0,4.1960444,0.23448002,0.0,1248.6688,6.653722362099274
82.0,2936.0427,0.40947634,4.0658064,0.0,4.1960444,0.23108622,0.0,1203.9249,6.7161086269714545
83.0,2941.097,0.3585589,4.099186,0.0,4.1960444,0.23111956,0.0,1261.3853,6.627781465831598
84.0,2943.8203,0.38364005,4.051712,0.0,4.1960444,0.23003261,0.0,1306.9192,6.558647776947224
