day,S,I,D,R_t
0.0,2877.7070922851562,9.920430183410645,0.0,11.374544189604604
1.0,2869.180398123605,16.910124914986746,0.0,11.34084122525781
2.0,2860.6537039620534,23.89981964656285,0.0,11.307138260911014
3.0,2852.1270098005025,30.88951437813895,0.0,11.27343529656422
4.0,2843.6003156389506,37.879209109715056,0.0,11.239732332217423
5.0,2835.0736214773997,44.86890384129116,0.0,11.206029367870629
6.0,2826.5469273158483,51.85859857286726,0.0,11.172326403523833
7.0,2818.020233154297,58.84829330444336,0.0,11.138623439177039
8.0,2709.706495012556,163.2931137084961,0.0,10.710498073625631
9.0,2601.3927568708145,267.7379341125488,0.0,10.282372708074226
10.0,2493.079018729074,372.18275451660156,0.0,9.854247342522818
11.0,2384.765280587332,476.6275749206543,0.0,9.426121976971412
12.0,2276.4515424455917,581.072395324707,0.0,8.997996611420005
13.0,2168.1378043038503,685.5172157287598,0.0,8.569871245868597
14.0,2059.8240661621094,789.9620361328125,0.0,8.141745880317192
15.0,2079.576389857701,928.7206508091517,0.0,8.219819732699488
16.0,2099.328713553293,1067.479265485491,0.0,8.297893585081784
17.0,2119.081037248884,1206.2378801618304,0.0,8.37596743746408
18.0,2138.8333609444753,1344.9964948381696,0.0,8.454041289846375
19.0,2158.585684640067,1483.755109514509,0.0,8.53211514222867
20.0,2178.3380083356583,1622.5137241908483,0.0,8.610188994610967
21.0,2198.09033203125,1761.2723388671875,0.0,8.688262846993263
22.0,1914.6604548863002,2058.2562081473216,0.0,7.567966180636198
23.0,1631.2305777413505,2355.240077427455,0.0,6.4476695142791325
24.0,1347.8007005964005,2652.223946707589,0.0,5.327372847922067
25.0,1064.3708234514509,2949.2078159877233,0.0,4.207076181565002
26.0,780.940946306501,3246.191685267857,0.0,3.0867795152079367
27.0,497.5110691615512,3543.175554547991,0.0,1.9664828488508714
28.0,214.08119201660156,3840.159423828125,0.0,0.8461861824938058
29.0,210.23681960787093,3844.845947265625,0.0,0.8309907569546203
30.0,206.39244719914026,3849.532470703125,0.0,0.8157953314154347
31.0,202.54807479040963,3854.218994140625,0.0,0.8005999058762492
32.0,198.703702381679,3858.905517578125,0.0,0.7854044803370637
33.0,194.85932997294836,3863.592041015625,0.0,0.7702090547978782
34.0,191.0149575642177,3868.278564453125,0.0,0.7550136292586925
35.0,187.17058515548706,3872.965087890625,0.0,0.739818203719507
36.0,182.96237577710832,3874.427751813616,0.0,0.7231846611112954
37.0,178.7541663987296,3875.890415736607,0.0,0.7065511185030838
38.0,174.54595702035087,3877.353079659598,0.0,0.6899175758948721
39.0,170.33774764197213,3878.8157435825897,0.0,0.6732840332866605
40.0,166.1295382635934,3880.2784075055806,0.0,0.6566504906784489
41.0,161.92132888521465,3881.7410714285716,0.0,0.6400169480702373
42.0,157.71311950683594,3883.2037353515625,0.0,0.6233834054620258
43.0,158.22051783970423,3882.543230329241,0.0,0.6253889691187353
44.0,158.72791617257255,3881.8827253069194,0.0,0.6273945327754448
45.0,159.23531450544084,3881.2222202845983,0.0,0.6294000964321543
46.0,159.74271283830916,3880.5617152622767,0.0,0.6314056600888638
47.0,160.25011117117745,3879.9012102399556,0.0,0.6334112237455733
48.0,160.75750950404577,3879.240705217634,0.0,0.6354167874022828
49.0,161.26490783691406,3878.5802001953125,0.0,0.6374223510589924
50.0,159.346110612154,3883.4061104910716,0.0,0.6298380337104907
51.0,157.42731338739395,3888.23202078683,0.0,0.622253716361989
52.0,155.5085161626339,3893.057931082589,0.0,0.6146693990134874
53.0,153.58971893787384,3897.8838413783483,0.0,0.6070850816649856
54.0,151.67092171311378,3902.7097516741073,0.0,0.599500764316484
55.0,149.75212448835373,3907.535661969866,0.0,0.5919164469679823
56.0,147.83332726359367,3912.361572265625,0.0,0.5843321296194807
57.0,147.30437276193072,3913.017595563616,0.0,0.5822413621575714
58.0,146.7754182602678,3913.673618861607,0.0,0.5801505946956621
59.0,146.24646375860485,3914.329642159598,0.0,0.5780598272337528
60.0,145.71750925694195,3914.9856654575897,0.0,0.5759690597718435
61.0,145.188554755279,3915.6416887555806,0.0,0.5738782923099343
62.0,144.65960025361608,3916.2977120535716,0.0,0.571787524848025
63.0,144.13064575195312,3916.9537353515625,0.0,0.5696967573861157
64.0,139.83336421421595,3918.460431780134,0.0,0.5527111444732498
