day,S,I,C,Q,E,R_t
0.0,2566.9677734375,0.0,0.0,0.17070555686950684,12.91595458984375,13.296842255575735
1.0,2566.070556640625,1.050536836896624,0.0,0.21332872765404837,13.48536137172154,13.288268105519325
2.0,2565.17333984375,2.101073673793248,0.0,0.2559518984385899,14.05476815359933,13.279693955462914
3.0,2564.276123046875,3.1516105106898715,0.0,0.2985750692231315,14.62417493547712,13.271119805406505
4.0,2563.37890625,4.202147347586496,0.0,0.34119824000767296,15.19358171735491,13.262545655350095
5.0,2562.481689453125,5.25268418448312,0.0,0.38382141079221455,15.762988499232701,13.253971505293686
6.0,2561.58447265625,6.303221021379743,0.0,0.4264445815767561,16.33239528111049,13.245397355237275
7.0,2560.687255859375,7.353757858276367,0.0,0.4690677523612976,16.90180206298828,13.236823205180865
8.0,2557.4881417410716,8.9428528376988,0.0,0.5347879188401359,18.72721835545131,13.218860600169535
9.0,2554.2890276227677,10.531947817121234,0.0,0.6005080853189741,20.552634647914342,13.200897995158204
10.0,2551.089913504464,12.121042796543666,0.0,0.6662282517978123,22.37805094037737,13.182935390146874
11.0,2547.890799386161,13.7101377759661,0.0,0.7319484182766506,24.203467232840403,13.164972785135543
12.0,2544.6916852678573,15.299232755388532,0.0,0.7976685847554889,26.02888352530343,13.147010180124212
13.0,2541.4925711495534,16.888327734810964,0.0,0.863388751234327,27.85429981776646,13.129047575112882
14.0,2538.29345703125,18.4774227142334,0.0,0.9291089177131653,29.679716110229492,13.111084970101551
15.0,2531.7687639508927,21.38730185372489,0.027786763651030406,0.910541261945452,33.15189579554966,13.07804700834197
16.0,2525.244070870536,24.29718099321638,0.05557352730206081,0.8919736061777387,36.62407548086984,13.04500904658239
17.0,2518.7193777901784,27.207060132707866,0.08336029095309122,0.8734059504100254,40.09625516619001,13.01197108482281
18.0,2512.1946847098216,30.11693927219936,0.11114705460412162,0.8548382946423122,43.56843485151018,12.978933123063227
19.0,2505.669991629464,33.02681841169085,0.13893381825515203,0.836270638874599,47.04061453683036,12.945895161303646
20.0,2499.1452985491073,35.936697551182334,0.16672058190618244,0.8177029831068856,50.51279422215053,12.912857199544066
21.0,2492.62060546875,38.84657669067383,0.19450734555721283,0.7991353273391724,53.9849739074707,12.879819237784485
22.0,2482.4443010602677,43.76417432512556,0.7228195198944637,0.9060496432440621,58.68304116385324,12.826875705462117
23.0,2472.267996651786,48.68177195957729,1.2511316942317146,1.0129639591489519,63.38110842023577,12.773932173139746
24.0,2462.0916922433034,53.599369594029014,1.7794438685689653,1.1198782750538419,68.0791756766183,12.720988640817378
25.0,2451.9153878348216,58.51696722848075,2.3077560429062163,1.2267925909587314,72.77724293300084,12.668045108495008
26.0,2441.739083426339,63.434564862932476,2.8360682172434672,1.3337069068636214,77.47531018938338,12.61510157617264
27.0,2431.5627790178573,68.3521624973842,3.3643803915807178,1.4406212227685111,82.17337744576591,12.56215804385027
28.0,2421.386474609375,73.26976013183594,3.8926925659179688,1.5475355386734009,86.87144470214844,12.509214511527901
29.0,2409.463065011161,80.5364270891462,3.4466558609689986,1.853280782699585,91.95172991071429,12.446295113587434
30.0,2397.5396554129466,87.80309404645648,3.0006191560200284,2.159026026725769,97.03201511928013,12.383375715646968
31.0,2385.6162458147323,95.06976100376674,2.5545824510710577,2.464771270751953,102.11230032784599,12.320456317706501
32.0,2373.6928362165177,102.336427961077,2.108545746122088,2.770516514778137,107.19258553641183,12.257536919766034
33.0,2361.7694266183034,109.60309491838728,1.6625090411731174,3.0762617588043213,112.27287074497768,12.194617521825567
34.0,2349.846017020089,116.86976187569755,1.2164723362241472,3.3820070028305054,117.35315595354353,12.131698123885101
35.0,2337.922607421875,124.13642883300781,0.770435631275177,3.6877522468566895,122.43344116210938,12.068778725944634
36.0,2324.416748046875,133.15766252790178,0.7619802355766296,3.976984977722168,125.81600952148438,12.002740917628197
37.0,2310.910888671875,142.17889622279577,0.7535248398780823,4.2662177085876465,129.19857788085938,11.936703109311761
38.0,2297.405029296875,151.20012991768974,0.7450694441795349,4.555450439453125,132.58114624023438,11.870665300995324
39.0,2283.899169921875,160.2213636125837,0.7366140484809875,4.8446831703186035,135.96371459960938,11.804627492678886
40.0,2270.393310546875,169.2425973074777,0.7281586527824402,5.133915901184082,139.34628295898438,11.738589684362449
41.0,2256.887451171875,178.26383100237166,0.7197032570838928,5.4231486320495605,142.72885131835938,11.672551876046013
42.0,2243.381591796875,187.28506469726562,0.7112478613853455,5.712381362915039,146.11141967773438,11.606514067729576
43.0,2232.278250558036,197.29263741629464,0.952166267803737,6.416324615478516,146.81222098214286,11.546687486433036
44.0,2221.1749093191966,207.30021013532365,1.1930846742221286,7.120267868041992,147.51302228655135,11.486860905136496
45.0,2210.0715680803573,217.30778285435267,1.4340030806405204,7.824211120605469,148.21382359095983,11.427034323839957
46.0,2198.9682268415177,227.31535557338168,1.674921487058912,8.528154373168945,148.9146248953683,11.367207742543416
47.0,2187.8648856026784,237.32292829241072,1.9158398934773035,9.232097625732422,149.61542619977678,11.307381161246877
48.0,2176.761544363839,247.33050101143974,2.1567582998956953,9.936040878295898,150.31622750418526,11.247554579950336
49.0,2165.658203125,257.33807373046875,2.397676706314087,10.639984130859375,151.01702880859375,11.187727998653797
50.0,2156.7327706473216,267.22095162527904,2.270519495010376,11.1486907686506,149.6533464704241,11.141723159387448
51.0,2147.8073381696427,277.1038295200893,2.143362283706665,11.657397406441826,148.28966413225447,11.095718320121097
52.0,2138.881905691964,286.98670741489957,2.016205072402954,12.16610404423305,146.92598179408483,11.049713480854749
53.0,2129.956473214286,296.8695853097098,1.8890478610992432,12.674810682024274,145.56229945591517,11.0037086415884
