day,S,I,P,D,E,R,Q,W,H,A,R_t
0.0,2492.763946533203,2.938571274280548,0.0,0.0,7.673717617988586,0.0,0.01682869577780366,0.01859777607023716,0.1711266040802002,2.503313422203064,17.809799851490837
1.0,2487.6702837262833,4.043819614819118,0.0,0.0,10.918328046798706,1.5473601136888777,0.016443283895828893,0.026069963883076395,0.5405822481427874,2.4660616857664928,17.773407671144845
2.0,2482.576620919364,5.149067955357689,0.0,0.0,14.162938475608826,3.0947202273777554,0.01605787201385413,0.03354215169591563,0.9100378922053747,2.428809949329921,17.737015490798857
3.0,2477.482958112444,6.254316295896258,0.0,0.0,17.407548904418945,4.642080341066633,0.015672460131879364,0.04101433950875487,1.2794935362679616,2.39155821289335,17.700623310452865
4.0,2472.3892953055247,7.359564636434827,0.0,0.0,20.65215933322907,6.189440454755511,0.015287048249904598,0.0484865273215941,1.6489491803305492,2.3543064764567783,17.664231130106874
5.0,2467.295632498605,8.464812976973397,0.0,0.0,23.896769762039185,7.736800568444389,0.014901636367929834,0.05595871513443334,2.0184048243931363,2.317054740020207,17.627838949760882
6.0,2462.2019696916855,9.570061317511968,0.0,0.0,27.141380190849308,9.284160682133265,0.014516224485955069,0.06343090294727258,2.3878604684557234,2.2798030035836354,17.591446769414894
7.0,2457.1083068847656,10.675309658050537,0.0,0.0,30.385990619659424,10.831520795822144,0.014130812603980303,0.07090309076011181,2.7573161125183105,2.242551267147064,17.555054589068902
8.0,2443.6010306222097,13.703578608376638,0.0,0.0,39.90098203931536,10.067723393440247,0.017796884157827923,0.21306722770844186,2.58919113448688,2.210255716528211,17.458550510891154
9.0,2430.093754359654,16.73184755870274,0.0,0.0,49.415973458971294,9.30392599105835,0.021462955711675544,0.3552313646567719,2.4210661564554488,2.1779601659093584,17.362046432713402
10.0,2416.5864780970983,19.760116509028844,0.0,0.0,58.930964878627236,8.540128588676453,0.025129027265523157,0.49739550160510204,2.2529411784240176,2.1456646152905057,17.265542354535654
11.0,2403.0792018345423,22.788385459354945,0.0,0.0,68.44595629828316,7.776331186294556,0.028795098819370785,0.6395596385534321,2.084816200392587,2.1133690646716525,17.169038276357902
12.0,2389.5719255719864,25.81665440968105,0.0,0.0,77.9609477179391,7.01253378391266,0.0324611703732184,0.7817237755017621,1.916691222361156,2.0810735140528,17.072534198180154
13.0,2376.064649309431,28.84492336000715,0.0,0.0,87.47593913759505,6.248736381530762,0.03612724192706602,0.9238879124500923,1.7485662443297252,2.0487779634339467,16.976030120002402
14.0,2362.557373046875,31.873192310333252,0.0,0.0,96.99093055725098,5.484938979148865,0.03979331348091364,1.0660520493984222,1.580441266298294,2.016482412815094,16.879526041824654
15.0,2323.798496791295,41.9351110458374,0.0,0.0,123.63768604823521,7.812103458813258,0.04884100532425302,1.3364988948617664,2.0559755946908678,1.9883329910891394,16.602609396933104
16.0,2285.039620535714,51.99702978134155,0.0,0.0,150.28444153921944,10.139267938477651,0.05788869716759239,1.6069457403251106,2.5315099230834415,1.9601835693631855,16.325692752041554
17.0,2246.280744280134,62.0589485168457,0.0,0.0,176.9311970302037,12.466432418142048,0.06693638901093177,1.8773925857884544,3.0070442514760156,1.9320341476372311,16.048776107150005
18.0,2207.5218680245534,72.12086725234985,0.0,0.0,203.5779525211879,14.793596897806438,0.07598408085427114,2.147839431251798,3.482578579868589,1.9038847259112766,15.771859462258456
19.0,2168.7629917689733,82.182785987854,0.0,0.0,230.22470801217216,17.12076137747083,0.0850317726976105,2.4182862767151425,3.958112908261163,1.8757353041853222,15.494942817366907
20.0,2130.0041155133927,92.24470472335815,0.0,0.0,256.8714635031564,19.447925857135225,0.09407946454094988,2.6887331221784865,4.433647236653737,1.8475858824593683,15.218026172475358
21.0,2091.2452392578125,102.3066234588623,0.0,0.0,283.5182189941406,21.77509033679962,0.10312715638428926,2.9591799676418304,4.90918156504631,1.8194364607334137,14.941109527583809
22.0,2012.3200814383372,126.36179188319615,0.0,0.0,329.86585944039484,28.108123064041138,0.13678056267755373,3.7334393348012647,6.477270441395896,1.7929456063679285,14.377220890648458
23.0,1933.3949236188616,150.41696030753,0.0,0.0,376.213499886649,34.441155791282654,0.1704339689708182,4.5076987019607,8.045359317745481,1.7664547520024434,13.813332253713108
24.0,1854.469765799386,174.47212873186385,0.0,0.0,422.56114033290316,40.77418851852418,0.20408737526408263,5.281958069120135,9.613448194095067,1.7399638976369585,13.249443616777757
25.0,1775.5446079799108,198.52729715619768,0.0,0.0,468.9087807791574,47.107221245765686,0.2377407815573471,6.056217436279569,11.181537070444652,1.7134730432714735,12.685554979842408
26.0,1696.6194501604352,222.58246558053153,0.0,0.0,515.2564212254115,53.4402539730072,0.27139418785061153,6.830476803439003,12.749625946794238,1.6869821889059886,12.121666342907057
27.0,1617.6942923409597,246.6376340048654,0.0,0.0,561.6040616716657,59.77328670024872,0.305047594143876,7.604736170598439,14.317714823143824,1.6604913345405035,11.557777705971706
28.0,1538.7691345214844,270.6928024291992,0.0,0.0,607.9517021179199,66.10631942749023,0.33870100043714046,8.378995537757874,15.885803699493408,1.6340004801750183,10.993889069036356
29.0,1456.851832798549,306.5192990984235,0.0,0.0,636.6831784929548,79.70860917227608,0.40916189923882484,10.08196074622018,19.72808027267456,1.6091925629547665,10.408622762497924
