week,S,I,D,R_t
112.0,13.104074,4057.2703,0.0,0.05179570351950139
113.0,0.0,4048.7415,0.0,0.0
114.0,10.345637,4066.73,0.0,0.04089259438466969
115.0,7.6612363,4056.667,0.0,0.030282119718708967
116.0,6.354972,4041.8198,0.0,0.025118924970215135
117.0,15.086496,4081.487,0.0,0.059631510064123074
118.0,0.0,4053.776,0.0,0.0
119.0,13.494653,4065.042,0.0,0.053339524777925196
120.0,0.337407,4051.4758,0.0,0.001333648848783438
121.0,11.764179,4043.6187,0.0,0.04649958185869752
122.0,29.289663,4037.7944,0.0,0.11577153863293704
123.0,0.19285877,4079.334,0.0,0.0007623015605613947
124.0,10.805065,4029.717,0.0,0.042708547859826744
125.0,15.545315,4050.668,0.0,0.06144505575034789
126.0,13.795494,4051.9492,0.0,0.05452864103035466
127.0,0.0,4052.5476,0.0,0.0
128.0,12.112564,4042.704,0.0,0.04787662276889964
129.0,10.060024,4073.0376,0.0,0.03976366837938818
130.0,1.408922,4057.1575,0.0,0.005568963256457439
131.0,0.0,4056.4597,0.0,0.0
132.0,7.858621,4070.0405,0.0,0.031062310417521107
133.0,8.044573,4045.579,0.0,0.031797311377148404
134.0,0.0,4043.873,0.0,0.0
135.0,5.2417955,4054.6235,0.0,0.020718938060377595
136.0,9.881813,4051.1772,0.0,0.03905926336429443
137.0,11.592703,4065.567,0.0,0.04582179539794908
138.0,10.849617,4073.8672,0.0,0.042884645344073664
139.0,0.0,4044.3755,0.0,0.0
140.0,13.837632,4053.722,0.0,0.054695197827624456
141.0,2.3649962,4042.4873,0.0,0.009347981870207467
142.0,4.7835784,4065.4817,0.0,0.018907770006830804
143.0,0.0,4052.7695,0.0,0.0
144.0,3.2434137,4029.4067,0.0,0.012820051215091718
145.0,4.2887626,4074.8645,0.0,0.016951940486041133
146.0,0.9888824,4039.5664,0.0,0.003908697602547065
147.0,15.175024,4048.5176,0.0,0.059981430119691724
148.0,3.0370333,4065.2893,0.0,0.012004303631268642
149.0,9.4213,4044.3994,0.0,0.03723902016104664
150.0,4.749178,4074.7676,0.0,0.018771797312193667
151.0,5.6188293,4036.3774,0.0,0.02220921711355527
152.0,2.0305324,4073.0515,0.0,0.008025966270171582
153.0,12.885456,4047.9358,0.0,0.0509315881206972
154.0,3.3473413,4075.7896,0.0,0.013230839798076486
155.0,7.706661,4030.4468,0.0,0.030461669152418165
156.0,4.8166127,4073.683,0.0,0.019038342846042597
157.0,1.9328953,4040.6165,0.0,0.007640041995312008
158.0,15.724611,4065.9912,0.0,0.062153751435904604
159.0,18.468666,4053.449,0.0,0.07300001413459058
160.0,5.999,4055.2625,0.0,0.02371189516069329
161.0,1.1949143,4068.2886,0.0,0.004723067893401895
162.0,0.0,4044.9766,0.0,0.0
163.0,1.2065206,4052.4163,0.0,0.004768943104961337
164.0,4.2763376,4020.3826,0.0,0.016902829130757465
165.0,0.40637052,4063.6123,0.0,0.001606236943368788
166.0,13.832817,4048.1016,0.0,0.0546761673423648
167.0,9.5938425,4033.4805,0.0,0.03792101907445506
168.0,0.965002,4054.0806,0.0,0.0038143068574481753
169.0,0.0,4055.1003,0.0,0.0
170.0,4.622065,4067.8696,0.0,0.018269365737767905
171.0,12.349451,4035.4624,0.0,0.04881295154517018
172.0,0.6665174,4076.414,0.0,0.002634504177652102
173.0,8.4162855,4064.5996,0.0,0.033266559501253345
174.0,5.5833564,4055.2373,0.0,0.022069006050717394
175.0,4.664196,4024.708,0.0,0.01843589426354171
176.0,24.114246,4041.812,0.0,0.0953149685219211
177.0,16.641489,4071.881,0.0,0.06577783660611021
178.0,8.11434,4063.7837,0.0,0.032073075538536604
179.0,0.0,4048.6216,0.0,0.0
180.0,12.649225,4064.8455,0.0,0.04999785133981308
181.0,0.0,4065.0713,0.0,0.0
182.0,1.2935759,4042.811,0.0,0.005113041588641991
183.0,25.029287,4045.2954,0.0,0.0989317973419006
184.0,2.28951,4035.2358,0.0,0.009049612057505686
185.0,0.0,4079.7651,0.0,0.0
186.0,6.1999745,4083.856,0.0,0.024506276032542722
187.0,0.0,4073.5547,0.0,0.0
188.0,5.0259085,4037.4243,0.0,0.019865613890980835
189.0,2.2796893,4061.476,0.0,0.00901079435332851
190.0,28.079163,4029.7668,0.0,0.11098686055658286
191.0,1.9019941,4035.3235,0.0,0.007517900658108628
192.0,1.8859334,4061.9595,0.0,0.007454418431037286
193.0,12.228191,4040.0596,0.0,0.048333653592225634
194.0,3.3260355,4078.9204,0.0,0.013146625612976281
195.0,1.8907126,4042.4106,0.0,0.007473308972394378
196.0,0.0,4042.7988,0.0,0.0
197.0,0.0,4073.5042,0.0,0.0
198.0,6.7839637,4058.2805,0.0,0.02681457569769549
199.0,0.0,4071.991,0.0,0.0
200.0,0.0065636984,4070.0715,0.0,2.5943946060664144e-05
201.0,0.0,4047.7102,0.0,0.0
202.0,9.547521,4062.339,0.0,0.03773792628012403
203.0,12.084812,4050.2905,0.0,0.04776692887002837
204.0,5.1752405,4030.8076,0.0,0.02045586992033508
205.0,4.2860746,4051.0674,0.0,0.016941316058450315
206.0,0.0,4033.13,0.0,0.0
207.0,19.585003,4051.3025,0.0,0.07741249327541837
208.0,2.8140686,4051.1406,0.0,0.011123003875792431
209.0,0.0,4060.7817,0.0,0.0
210.0,0.0,4069.981,0.0,0.0
211.0,11.848113,4044.311,0.0,0.0468313431334172
212.0,9.792104,4053.7861,0.0,0.038704674742621244
213.0,1.0185776,4065.6174,0.0,0.004026071894604054
214.0,15.060353,4058.6665,0.0,0.059528175867374154
215.0,15.545722,4045.998,0.0,0.061446664398379494
216.0,11.725285,4073.2637,0.0,0.04634584524175088
217.0,30.057022,4055.3982,0.0,0.11880463177254928
218.0,2.1407435,4040.6008,0.0,0.008461591360975086
219.0,4.268689,4044.5815,0.0,0.016872597479425763
220.0,7.1297026,4075.3184,0.0,0.02818115801028787
221.0,30.680496,4046.5586,0.0,0.12126899951055672
222.0,23.101768,4062.7607,0.0,0.09131300655773357
223.0,0.0,4050.9785,0.0,0.0
224.0,5.6660657,4040.566,0.0,0.022395925832026053
225.0,0.0,4052.2603,0.0,0.0
226.0,12.546946,4042.5027,0.0,0.0495935746243703
227.0,12.807486,4069.6074,0.0,0.05062339773323119
228.0,0.0,4074.705,0.0,0.0
229.0,1.9960134,4044.7236,0.0,0.00788952521110809
230.0,7.607904,4047.2917,0.0,0.03007131614796232
231.0,0.0,4039.8755,0.0,0.0
232.0,0.0,4053.0889,0.0,0.0
233.0,7.8587713,4009.6982,0.0,0.03106290583019124
234.0,15.601038,4026.4365,0.0,0.0616653104816708
