week,S,I,C,Q,E,R_t
73.0,1736.5425,604.01166,87.93349,127.71206,25.326122,8.99012871731825
74.0,1731.2056,610.3093,89.15683,128.54297,25.760242,8.950540718725223
75.0,1734.8662,608.5281,91.371765,127.3718,25.973475,8.958597064292523
76.0,1731.2191,607.0619,95.18093,127.96446,25.909798,8.942442236982272
77.0,1731.8049,608.94904,92.652336,128.49469,25.608791,8.944868086021332
78.0,1731.7057,606.4172,94.5169,128.14665,26.056028,8.946662911618985
79.0,1729.9373,607.7836,94.76046,127.25847,25.832561,8.941916733922065
80.0,1727.8693,607.35657,98.89308,128.85378,25.303753,8.921896664023771
81.0,1727.7086,608.9055,99.23876,128.19777,25.512476,8.91663446870483
82.0,1726.7468,607.93823,100.06566,128.84238,25.466543,8.91340379046385
83.0,1727.3956,604.63385,99.299355,127.66899,25.827469,8.931359908186133
84.0,1720.67,605.2016,103.184906,128.06602,25.516895,8.904115462503057
85.0,1723.8649,606.691,105.20217,128.23831,25.665611,8.896457606418288
86.0,1722.528,607.0033,104.15845,128.30385,26.05178,8.8951109477998
87.0,1716.1248,603.5446,105.61381,127.953,25.547432,8.893872986980439
88.0,1717.6398,604.91705,107.9185,127.74266,25.80058,8.883690638360768
89.0,1717.0029,606.4431,108.225784,128.25075,26.084059,8.873569806939702
90.0,1715.9489,604.60095,111.28531,127.84511,25.929884,8.869482294277363
91.0,1715.4594,605.30396,115.439156,128.86359,25.446898,8.850170419159587
92.0,1714.981,607.36865,112.405914,127.41982,26.085144,8.85540213955082
93.0,1712.4681,603.8592,114.11987,128.20865,25.855747,8.855253194974757
94.0,1709.0251,604.0375,113.83729,127.69541,26.088116,8.850558710288245
95.0,1707.5829,606.31256,116.49107,128.28195,25.245565,8.832033364666689
96.0,1706.2035,602.87305,118.3268,128.1282,26.00992,8.833009365395728
97.0,1706.2329,604.5864,117.21917,128.49922,25.840996,8.83029776486252
98.0,1706.6228,605.1733,121.06836,127.933586,25.727821,8.818154224755336
99.0,1702.7837,604.4721,121.173546,127.40006,25.672728,8.815439363370903
100.0,1704.3934,604.9414,124.235954,127.12927,26.019741,8.805974682651959
101.0,1699.8527,604.18274,125.843544,127.50148,25.936863,8.794081742957921
102.0,1702.2506,603.98895,125.52691,126.94283,25.81099,8.802388261818304
