day,S,I,D,C,A,W,P,V,R_t
0.0,4174.671875,4.1917724609375,0.0,0.0,4.196044445037842,0.0005370589205995202,0.0,6.888362407684326,9.446019974137355
1.0,4177.099260602678,4.175746372767857,0.018989247935158864,0.0,4.196044445037842,0.006554300730515804,0.0,8.382492474147252,9.442729162314931
2.0,4179.526646205357,4.159720284598214,0.03797849587031773,0.0,4.196044445037842,0.012571542540432088,0.0,9.876622540610178,9.439438350492509
3.0,4181.954031808035,4.143694196428571,0.05696774380547659,0.0,4.196044445037842,0.018588784350348372,0.0,11.370752607073102,9.436147538670085
4.0,4184.381417410715,4.127668108258929,0.07595699174063546,0.0,4.196044445037842,0.024606026160264655,0.0,12.864882673536028,9.432856726847662
5.0,4186.808803013393,4.111642020089286,0.09494623967579432,0.0,4.196044445037842,0.030623267970180938,0.0,14.359012739998954,9.429565915025238
6.0,4189.236188616072,4.095615931919643,0.11393548761095318,0.0,4.196044445037842,0.036640509780097225,0.0,15.853142806461879,9.426275103202816
7.0,4191.66357421875,4.07958984375,0.13292473554611206,0.0,4.196044445037842,0.042657751590013504,0.0,17.347272872924805,9.422984291380391
8.0,4194.942661830357,4.050686155046735,0.15876475402287074,0.0,4.196044445037842,0.04846017914158957,0.0,22.189430781773158,9.412416427699693
9.0,4198.221749441965,4.021782466343471,0.18460477249962942,0.0,4.196044445037842,0.05426260669316564,0.0,27.03158869062151,9.401848564018993
10.0,4201.500837053572,3.9928787776402066,0.21044479097638813,0.0,4.196044445037842,0.060065034244741716,0.0,31.873746599469868,9.391280700338294
11.0,4204.779924665178,3.963975088936942,0.23628480945314678,0.0,4.196044445037842,0.06586746179631778,0.0,36.71590450831822,9.380712836657596
12.0,4208.059012276785,3.9350714002336775,0.2621248279299055,0.0,4.196044445037842,0.07166988934789385,0.0,41.558062417166575,9.370144972976897
13.0,4211.338099888393,3.9061677115304128,0.2879648464066642,0.0,4.196044445037842,0.07747231689946993,0.0,46.40022032601493,9.359577109296197
14.0,4214.6171875,3.8772640228271484,0.31380486488342285,0.0,4.196044445037842,0.08327474445104599,0.0,51.24237823486328,9.349009245615498
15.0,4203.02001953125,3.871692555291312,0.32850608229637146,0.0,4.196044445037842,0.08826152661017009,0.0,53.623396737234934,9.343370889898798
16.0,4191.4228515625,3.866121087755476,0.34320729970932007,0.0,4.196044445037842,0.0932483087692942,0.0,56.00441523960659,9.337732534182098
17.0,4179.82568359375,3.8605496202196394,0.3579085171222687,0.0,4.196044445037842,0.0982350909284183,0.0,58.38543374197824,9.332094178465399
18.0,4168.228515625,3.854978152683803,0.3726097345352173,0.0,4.196044445037842,0.1032218730875424,0.0,60.76645224434989,9.3264558227487
19.0,4156.63134765625,3.8494066851479665,0.3873109519481659,0.0,4.196044445037842,0.10820865524666651,0.0,63.14747074672154,9.320817467032
20.0,4145.0341796875,3.8438352176121304,0.4020121693611145,0.0,4.196044445037842,0.1131954374057906,0.0,65.5284892490932,9.3151791113153
21.0,4133.43701171875,3.838263750076294,0.4167133867740631,0.0,4.196044445037842,0.1181822195649147,0.0,67.90950775146484,9.3095407555986
22.0,4128.883231026785,3.817770310810634,0.42697740878377644,0.0,4.196044445037842,0.12221066866602216,0.0,69.5084729875837,9.30584646197753
23.0,4124.329450334822,3.797276871544974,0.4372414307934897,0.0,4.196044445037842,0.12623911776712962,0.0,71.10743822370257,9.30215216835646
24.0,4119.775669642857,3.776783432279314,0.44750545280320303,0.0,4.196044445037842,0.1302675668682371,0.0,72.70640345982143,9.29845787473539
25.0,4115.221888950893,3.7562899930136546,0.45776947481291635,0.0,4.196044445037842,0.13429601596934454,0.0,74.30536869594029,9.294763581114319
26.0,4110.668108258928,3.7357965537479947,0.4680334968226297,0.0,4.196044445037842,0.138324465070452,0.0,75.90433393205915,9.291069287493249
27.0,4106.114327566965,3.7153031144823347,0.47829751883234295,0.0,4.196044445037842,0.14235291417155946,0.0,77.50329916817802,9.287374993872179
28.0,4101.560546875,3.694809675216675,0.4885615408420563,0.0,4.196044445037842,0.14638136327266693,0.0,79.10226440429688,9.283680700251109
29.0,4102.062430245535,3.674760001046317,0.5092818481581551,0.0,4.196044445037842,0.15033836449895585,0.0,78.88971819196429,9.284219586340253
30.0,4102.564313616072,3.6547103268759593,0.5300021554742541,0.0,4.196044445037842,0.1542953657252448,0.0,78.6771719796317,9.284758472429397
31.0,4103.066196986607,3.6346606527056013,0.550722462790353,0.0,4.196044445037842,0.15825236695153372,0.0,78.46462576729911,9.285297358518541
32.0,4103.568080357143,3.6146109785352434,0.5714427701064518,0.0,4.196044445037842,0.16220936817782267,0.0,78.25207955496651,9.285836244607683
33.0,4104.069963727678,3.5945613043648854,0.5921630774225507,0.0,4.196044445037842,0.16616636940411159,0.0,78.03953334263393,9.286375130696827
34.0,4104.571847098215,3.574511630194528,0.6128833847386497,0.0,4.196044445037842,0.17012337063040053,0.0,77.82698713030133,9.286914016785971
35.0,4105.07373046875,3.55446195602417,0.6336036920547485,0.0,4.196044445037842,0.17408037185668945,0.0,77.61444091796875,9.287452902875115
36.0,4102.10285295759,3.5426463399614607,0.6499390431812831,0.0,4.196044445037842,0.1772296747991017,0.0,76.84576525006976,9.289055860636582
37.0,4099.131975446428,3.5308307238987515,0.6662743943078178,0.0,4.196044445037842,0.18037897774151393,0.0,76.07708958217076,9.290658818398047
38.0,4096.161097935268,3.5190151078360423,0.6826097454343523,0.0,4.196044445037842,0.18352828068392618,0.0,75.30841391427177,9.292261776159513
