week,S,I,P,R_t
38.0,5045.9473,13339.892,0.0,26.015135175711514
39.0,9554.197,9272.725,0.0,49.25809340831673
40.0,2525.9297,16303.166,0.0,13.022808202923633
41.0,9984.457,8745.477,0.0,51.476357193152445
42.0,2380.9253,16417.928,0.0,12.2752163270469
43.0,9782.887,8835.55,0.0,50.437131965680486
44.0,2376.0742,16094.459,0.0,12.250204787889407
45.0,10660.659,8223.796,0.0,54.96262178345706
46.0,1935.45,16930.607,0.0,9.978501656960438
47.0,7444.324,11285.234,0.0,38.38032901013703
48.0,7652.294,11364.828,0.0,39.45254391132265
49.0,6315.676,12578.7,0.0,32.56141073714715
50.0,8160.7695,10868.932,0.0,42.07406760719742
51.0,5088.5557,13673.286,0.0,26.234807599770058
52.0,9771.343,9147.529,0.0,50.377620318487565
53.0,2320.8398,16722.158,0.0,11.965436817988572
54.0,8855.911,9693.555,0.0,45.65797148939828
55.0,4536.767,14045.691,0.0,23.38997949345522
56.0,10291.183,8590.713,0.0,53.05773024162736
57.0,1756.0148,17061.633,0.0,9.053396705128
58.0,7507.8545,11243.2705,0.0,38.707865992962894
59.0,7494.5522,10889.019,0.0,38.639283587772795
60.0,5821.0312,12880.51,0.0,30.01119490084302
61.0,8719.796,10071.563,0.0,44.95621076909917
62.0,3662.1094,15010.667,0.0,18.880551931556827
63.0,11525.442,7188.3296,0.0,59.42114303088736
64.0,2117.746,16623.773,0.0,10.918355864871632
65.0,10206.805,8566.918,0.0,52.6227050081182
66.0,2110.7974,16698.531,0.0,10.882530489595418
67.0,8381.506,10385.171,0.0,43.212108640625026
68.0,5888.737,12901.866,0.0,30.360262006388112
69.0,8631.827,10226.848,0.0,44.502675866195574
70.0,3950.068,14759.704,0.0,20.365165917659628
71.0,11332.684,7511.4023,0.0,58.42734689004981
72.0,2113.0813,16614.645,0.0,10.894306447172957
73.0,9284.139,9465.92,0.0,47.86576537791369
74.0,3436.1555,15491.482,0.0,17.715614642293318
75.0,11795.4,7247.036,0.0,60.81294997864655
76.0,2256.3362,16516.156,0.0,11.63287778535399
77.0,9788.118,9108.378,0.0,50.464104879507666
78.0,2521.6296,16279.412,0.0,13.000639027606404
79.0,10134.988,8929.053,0.0,52.25244731511294
80.0,2526.4565,16219.61,0.0,13.025524091035411
81.0,10946.783,7702.165,0.0,56.43777485528239
82.0,1815.8145,17044.225,0.0,9.361702503522306
83.0,6656.2446,11898.919,0.0,34.317264061681804
84.0,8225.897,10397.655,0.0,42.40983970413384
85.0,4879.5166,13653.116,0.0,25.15707750252603
