week,S,I,D,H,C,Q,E,R,R_t
51.0,13.216224,5.927454,1501.7476,9.682652,93.534485,0.0,0.30241507,2365.5366,0.027507921519315897
52.0,8.529329,8.221375,1525.4368,7.9716225,92.74251,0.0,7.099359,2381.3843,0.017752734221337274
53.0,13.837639,1.135673,1550.4678,6.031012,94.11173,0.0,4.8810344,2381.0415,0.028801317404715622
54.0,6.064561,0.3913973,1513.9769,13.726389,93.159775,0.0,5.4787736,2379.2778,0.01262262607317423
55.0,3.6935472,0.1101007,1514.5875,7.728695,91.708305,0.0,2.400401,2382.7124,0.007687657328188831
56.0,2.581816,11.66755,1522.1193,9.740464,91.79339,0.0,0.25288886,2393.3132,0.00537372768067466
57.0,31.374332,0.020814452,1524.2285,10.58063,91.72407,0.0,0.0914118,2358.1033,0.0653017602560024
58.0,19.110758,5.7040973,1516.5804,0.747195,92.07134,0.0,2.6501224,2375.6885,0.03977665640499611
59.0,7.275577,0.39207402,1513.7323,1.8741201,89.71334,0.0,0.21498895,2355.3267,0.015143204561859198
60.0,52.778683,0.5617591,1521.3279,0.41054302,91.23195,0.0,0.12764513,2393.0774,0.1098522404319979
61.0,23.629913,0.0,1505.6617,1.5927575,90.27581,0.0,0.34149793,2383.7234,0.049182714358141796
62.0,15.163187,0.054997414,1521.4083,0.0016100903,90.79648,0.0,0.39550692,2383.3352,0.031560280675704266
63.0,29.186058,0.046224575,1504.4694,3.3218925,88.99223,0.0,7.923533,2382.6526,0.060747135575975324
64.0,6.3935595,4.712691,1522.8871,5.6825733,89.82094,0.0,0.6389211,2368.6387,0.013307395759664059
65.0,13.280684,1.1933845,1533.4019,2.327059,90.21846,0.0,0.0042731278,2373.1907,0.027642086608622576
66.0,2.7589002,1.5648434,1520.1876,3.4322796,89.3226,0.0,5.670551,2361.3372,0.0057423060857415085
67.0,36.042755,2.3070526,1541.1561,1.335288,88.941185,0.0,0.094009325,2356.8445,0.0750184959086061
68.0,10.632446,4.4987383,1549.6428,7.4438677,89.03605,0.0,6.9145455,2385.5708,0.022130109128917167
69.0,9.1097355,0.065957196,1529.199,4.06249,88.964424,0.0,2.0214465,2386.0833,0.0189607756261047
70.0,7.8188233,0.0,1497.6761,0.45927984,88.802734,0.0,0.09783682,2394.8179,0.016273905078792582
71.0,45.72942,0.6325679,1514.227,4.9739738,87.8161,0.0,7.387463,2392.6538,0.0951800793483233
72.0,1.7796104,0.5691017,1539.9612,1.487414,88.01637,0.0,1.5764989,2388.369,0.00370403681942266
73.0,1.7177254,0.0,1537.7345,7.4055786,89.06248,0.0,0.5406338,2402.8179,0.003575230950902991
74.0,0.029906647,0.97595525,1535.6636,2.2929807,86.8675,0.0,0.066875406,2351.3755,6.224695241257852e-05
75.0,6.0448112,0.6187509,1524.433,0.094958074,86.705536,0.0,0.11146131,2386.022,0.012581520404699916
76.0,0.8302398,0.78610766,1515.424,3.4208088,86.63331,0.0,8.564453,2389.9019,0.0017280404301033368
77.0,19.80432,1.7188581,1539.0789,4.0107117,86.79143,0.0,1.1376309,2387.5718,0.041220216450274634
78.0,10.690138,0.65992457,1529.2642,1.804404,86.72549,0.0,0.05485115,2395.7861,0.02225018628619122
79.0,0.29098693,7.562193,1508.5712,0.12144642,85.554665,0.0,0.7391262,2391.2708,0.0006056529548878062
80.0,40.530308,2.199715,1510.0381,0.108049236,85.55141,0.0,1.1384277,2401.576,0.08435877015548214
81.0,17.33383,3.5508611,1522.8744,0.094294146,84.48116,0.0,3.001571,2396.7202,0.036078204222694164
82.0,4.450348,0.19784816,1507.1019,0.84400237,85.49019,0.0,4.57307,2393.129,0.00926284352048843
83.0,10.563384,0.018685164,1515.4799,2.8541324,85.896,0.0,0.0,2382.1199,0.0219863641242543
84.0,49.76116,8.173864,1541.4122,5.9479847,84.11887,0.0,12.092747,2372.8174,0.10357165271775072
85.0,0.0,1.5973668,1512.2675,0.47762507,85.315674,0.0,5.92825,2408.6292,0.0
86.0,76.771515,0.81139475,1513.3275,5.1836686,84.94679,0.0,11.057775,2421.984,0.15979032616061226
87.0,9.3961,1.8410778,1550.772,10.490857,83.530754,0.0,0.49412268,2398.0078,0.019556808222191135
88.0,21.289198,0.8047148,1532.4962,1.3587741,83.83578,0.0,7.8169045,2407.9773,0.04431080822272196
89.0,0.0,4.7536626,1536.3845,4.6351404,83.69819,0.0,2.525329,2416.0347,0.0
90.0,23.168644,0.5357848,1512.2537,0.0,84.03964,0.0,0.48284063,2354.419,0.04822263960497872
91.0,6.685362,0.7217789,1523.5931,1.0148214,82.37764,0.0,0.6191793,2401.5166,0.013914745090373767
92.0,0.2446655,0.0,1515.6217,0.10289609,82.02177,0.0,8.437326,2389.4888,0.0005092406985967518
93.0,0.0,3.0863478,1523.5891,5.463081,81.81203,0.0,0.47755298,2391.9788,0.0
94.0,0.7551758,5.789395,1515.3378,1.1879683,83.89577,0.0,3.6291482,2404.4087,0.0015718041407945123
95.0,0.0,9.492073,1528.8995,0.026177354,82.94347,0.0,5.481495,2388.0146,0.0
96.0,0.6260743,7.847518,1519.044,0.08970428,82.88498,0.0,5.515393,2375.685,0.0013030955182981188
97.0,3.2576766,7.2341433,1513.5969,3.7365088,82.002716,0.0,0.9541036,2399.1758,0.0067804471809117155
98.0,11.516223,10.530912,1532.0189,8.875275,80.2566,0.0,2.4973621,2377.925,0.023969579791352363
99.0,0.0,3.695292,1509.4657,1.300051,81.48335,0.0,0.43345624,2379.583,0.0
100.0,2.693877,0.4827759,1534.2299,0.72250783,80.52638,0.0,0.008076845,2369.0354,0.005606968601952907
101.0,51.82741,7.1556134,1531.4177,0.0,80.75283,0.0,4.2896023,2361.6963,0.10787228151424284
102.0,9.0537615,2.5336962,1535.986,0.533264,81.839134,0.0,4.3924804,2386.969,0.018844274146402794
103.0,31.521078,0.0,1518.5251,1.7734933,80.25893,0.0,6.140757,2363.8828,0.06560718762800755
104.0,7.3257833,0.55345875,1531.8784,0.30904806,79.93189,0.0,0.6428513,2407.2732,0.01524770276872004
105.0,9.476862,0.0,1517.7169,8.844575,79.389366,0.0,0.11021455,2404.2417,0.01972490495294602
106.0,1.1478302,0.5094138,1534.6418,8.034422,79.34049,0.0,1.2186673,2388.7754,0.0023890653987513996
107.0,0.0,3.804446,1517.2395,1.8182648,79.09612,0.0,2.5618925,2377.8372,0.0
108.0,36.52163,4.271111,1511.765,1.8557973,77.75487,0.0,10.216623,2388.4426,0.07601521563456462
109.0,2.583744,1.2957199,1533.4993,0.51274735,78.67648,0.0,0.0,2379.123,0.00537774077697565
110.0,3.5809393,3.5006146,1553.1531,0.06880966,79.04368,0.0,0.29846102,2358.7593,0.007453278299408329
111.0,28.614147,0.020823676,1537.9205,2.0282068,78.161415,0.0,4.236121,2406.0967,0.059556773202970065
112.0,21.752998,1.1343365,1534.4005,0.6814693,77.93484,0.0,0.0,2394.135,0.045276150167688094
113.0,4.0147543,0.18198161,1517.3065,0.2662664,77.789345,0.0,0.06710041,2383.0974,0.008356210436561502
114.0,37.564632,2.0252986,1533.1693,0.016813308,78.1521,0.0,0.8991437,2405.1267,0.07818609620539692
115.0,1.4084849,1.4686071,1550.0199,7.4547043,77.23268,0.0,0.98263603,2415.565,0.00293158552632643
116.0,0.17725106,0.8689725,1516.2145,0.37701926,76.42534,0.0,1.2924445,2419.0356,0.0003689259426005821
117.0,0.15201975,0.2119858,1532.5221,0.0,75.85528,0.0,7.5597167,2395.148,0.00031641013811099366
